534
datahora,pme,etp,M_6,M_12,M_24
2013-11-07 00:00:00+00:00,0.000,0.000,12.268,12.268,12.268
2013-11-07 06:00:00+00:00,0.000,0.000,12.032,12.150,12.150
2013-11-07 12:00:00+00:00,0.000,2.136,12.607,12.319,12.302
2013-11-07 18:00:00+00:00,0.000,2.136,12.520,12.563,12.357
2013-11-08 00:00:00+00:00,0.000,0.000,11.592,12.056,12.188
2013-11-08 06:00:00+00:00,0.000,0.000,11.400,11.496,12.030
2013-11-08 12:00:00+00:00,0.000,1.978,11.250,11.325,11.690
2013-11-08 18:00:00+00:00,0.000,1.978,13.377,12.313,11.905
2013-11-09 00:00:00+00:00,0.000,0.000,16.285,14.831,13.078
2013-11-09 06:00:00+00:00,0.000,0.000,2.642,9.463,10.888
2013-11-09 12:00:00+00:00,0.000,2.406,3.167,2.904,8.867
2013-11-09 18:00:00+00:00,0.000,2.406,6.140,4.653,7.058
2013-11-10 00:00:00+00:00,0.000,0.000,7.232,6.686,4.795
2013-11-10 06:00:00+00:00,0.000,0.000,7.212,7.222,5.938
2013-11-10 12:00:00+00:00,0.000,1.861,7.273,7.242,6.964
2013-11-10 18:00:00+00:00,0.000,1.861,7.700,7.487,7.354
2013-11-11 00:00:00+00:00,0.200,0.000,10.018,8.859,8.051
2013-11-11 06:00:00+00:00,0.000,0.000,11.255,10.637,9.062
2013-11-11 12:00:00+00:00,0.000,2.377,11.162,11.208,10.034
2013-11-11 18:00:00+00:00,4.000,2.377,11.010,11.086,10.861
2013-11-12 00:00:00+00:00,0.800,0.000,10.693,10.852,11.030
2013-11-12 06:00:00+00:00,1.000,0.000,11.135,10.914,11.000
2013-11-12 12:00:00+00:00,0.000,2.574,12.075,11.605,11.228
2013-11-12 18:00:00+00:00,0.000,2.574,11.968,12.022,11.468
2013-11-13 00:00:00+00:00,0.000,0.000,10.368,11.168,11.387
2013-11-13 06:00:00+00:00,0.000,0.000,10.043,10.206,11.114
2013-11-13 12:00:00+00:00,0.200,2.244,11.478,10.761,10.965
2013-11-13 18:00:00+00:00,0.000,2.244,11.545,11.512,10.859
2013-11-14 00:00:00+00:00,0.000,0.000,10.487,11.016,10.888
2013-11-14 06:00:00+00:00,0.000,0.000,10.130,10.308,10.910
2013-11-14 12:00:00+00:00,0.000,2.219,11.192,10.661,10.838
2013-11-14 18:00:00+00:00,0.000,2.219,11.698,11.445,10.877
2013-11-15 00:00:00+00:00,0.000,0.000,11.485,11.592,11.126
2013-11-15 06:00:00+00:00,0.000,0.000,10.812,11.148,11.297
2013-11-15 12:00:00+00:00,0.000,2.177,10.165,10.488,11.040
2013-11-15 18:00:00+00:00,0.000,2.177,9.492,9.828,10.488
2013-11-16 00:00:00+00:00,0.000,0.000,8.845,9.168,9.828
2013-11-16 06:00:00+00:00,0.000,0.000,8.168,8.507,9.168
2013-11-16 12:00:00+00:00,5.600,2.172,8.928,8.548,8.858
2013-11-16 18:00:00+00:00,0.000,2.172,9.520,9.224,8.865
2013-11-17 00:00:00+00:00,0.800,0.000,9.520,9.520,9.034
2013-11-17 06:00:00+00:00,0.400,0.000,9.520,9.520,9.372
2013-11-17 12:00:00+00:00,0.000,2.508,9.890,9.705,9.612
2013-11-17 18:00:00+00:00,0.000,2.508,10.433,10.162,9.841
2013-11-18 00:00:00+00:00,0.000,0.000,10.673,10.553,10.129
2013-11-18 06:00:00+00:00,0.000,0.000,10.927,10.800,10.481
2013-11-18 12:00:00+00:00,0.000,2.324,10.523,10.725,10.639
2013-11-18 18:00:00+00:00,0.000,2.324,10.192,10.357,10.579
2013-11-19 00:00:00+00:00,0.000,0.000,10.153,10.172,10.449
2013-11-19 06:00:00+00:00,0.000,0.000,10.082,10.117,10.238
2013-11-19 12:00:00+00:00,0.000,2.438,10.035,10.058,10.115
2013-11-19 18:00:00+00:00,0.000,2.438,9.968,10.002,10.060
2013-11-20 00:00:00+00:00,1.600,0.000,9.925,9.947,10.002
2013-11-20 06:00:00+00:00,0.000,0.000,9.852,9.888,9.945
2013-11-20 12:00:00+00:00,0.000,1.889,9.807,9.829,9.888
2013-11-20 18:00:00+00:00,1.400,1.889,9.755,9.781,9.835
2013-11-21 00:00:00+00:00,0.000,0.000,10.083,9.919,9.874
2013-11-21 06:00:00+00:00,0.000,0.000,10.140,10.112,9.946
2013-11-21 12:00:00+00:00,0.000,2.465,10.655,10.397,10.158
2013-11-21 18:00:00+00:00,0.000,2.465,11.087,10.871,10.491
2013-11-22 00:00:00+00:00,3.200,0.000,11.078,11.082,10.740
2013-11-22 06:00:00+00:00,2.800,0.000,11.258,11.168,11.020
2013-11-22 12:00:00+00:00,3.200,1.900,11.693,11.476,11.279
2013-11-22 18:00:00+00:00,1.000,1.900,12.233,11.963,11.566
2013-11-23 00:00:00+00:00,0.000,0.000,13.157,12.695,12.085
2013-11-23 06:00:00+00:00,0.000,0.000,13.685,13.421,12.692
2013-11-23 12:00:00+00:00,0.000,1.680,13.417,13.551,13.123
2013-11-23 18:00:00+00:00,0.000,1.680,12.788,13.102,13.262
2013-11-24 00:00:00+00:00,0.000,0.000,12.808,12.798,13.175
2013-11-24 06:00:00+00:00,0.000,0.000,12.813,12.811,12.957
2013-11-24 12:00:00+00:00,0.000,1.966,12.842,12.827,12.813
2013-11-24 18:00:00+00:00,0.000,1.966,12.860,12.851,12.831
