fid,id,x,y
"13","12",-51.146684714,-23.731540231
"14","13",-51.106684714,-23.731540231
"15","14",-51.066684714,-23.731540231
"16","15",-51.026684714,-23.731540231
"17","16",-50.986684714,-23.731540231
"20","19",-51.226684714,-23.771540231
"21","20",-51.186684714,-23.771540231
"22","21",-51.146684714,-23.771540231
"23","22",-51.106684714,-23.771540231
"24","23",-51.066684714,-23.771540231
"25","24",-51.026684714,-23.771540231
"26","25",-50.986684714,-23.771540231
"27","26",-50.946684714,-23.771540231
"29","28",-51.226684714,-23.811540231
"30","29",-51.186684714,-23.811540231
"31","30",-51.146684714,-23.811540231
"32","31",-51.106684714,-23.811540231
"33","32",-51.066684714,-23.811540231
"34","33",-51.026684714,-23.811540231
"38","37",-51.226684714,-23.851540231
"39","38",-51.186684714,-23.851540231
"40","39",-51.146684714,-23.851540231
"41","40",-51.106684714,-23.851540231
"42","41",-51.066684714,-23.851540231
"48","47",-51.186684714,-23.891540231
"49","48",-51.146684714,-23.891540231
