datahora,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qgr5_wrf
2021-03-03T00:00:00+00:00,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328,4.328
2021-03-03T06:00:00+00:00,8.110,8.208,8.162,8.149,8.120,8.158,8.115,8.150,8.116,8.167,8.222,8.135,8.100,8.178,8.132,8.166,8.184,8.144,8.184,8.245,8.154,8.229,8.135,8.170,8.120,8.142,8.188,8.109,8.106,8.231,8.177,8.151,8.158,8.105,8.099,8.242,8.150,8.120,8.170,8.105,8.100,8.138,8.166,8.167,8.100,8.105,8.105,8.305,8.150,8.126,8.111,8.150,8.116,8.170,8.098
2021-03-03T12:00:00+00:00,12.896,13.436,13.182,13.112,12.952,13.159,12.926,13.116,12.931,13.208,13.513,13.031,12.844,13.273,13.014,13.203,13.303,13.084,13.305,13.643,13.138,13.551,13.033,13.223,12.952,13.070,13.326,12.892,12.872,13.564,13.267,13.120,13.159,12.866,12.834,13.628,13.114,12.950,13.225,12.868,12.840,13.050,13.205,13.208,12.840,12.866,12.868,13.979,13.118,12.986,12.903,13.114,12.930,13.223,12.829
2021-03-03T18:00:00+00:00,10.441,11.332,10.907,10.762,10.509,10.907,10.472,10.740,10.539,11.067,11.477,10.563,10.312,11.111,10.590,11.048,11.108,10.714,11.244,11.902,10.766,11.636,10.645,10.927,10.414,10.638,11.262,10.400,10.415,11.724,11.080,10.786,10.806,10.606,10.250,11.800,11.090,10.649,10.931,10.402,10.255,10.758,11.039,11.073,10.229,10.413,10.340,12.596,10.847,10.633,10.406,10.762,10.500,11.073,10.253
2021-03-04T00:00:00+00:00,8.274,8.375,8.283,7.926,8.091,8.397,8.044,7.820,8.410,9.050,8.272,7.660,8.073,8.692,8.053,8.705,8.345,8.229,8.865,9.696,7.814,9.024,8.164,7.789,7.695,7.661,8.781,8.247,8.282,9.109,8.383,8.418,7.842,9.105,7.727,9.242,9.749,8.681,8.098,8.472,7.606,8.686,8.706,8.760,7.755,8.178,8.016,10.211,8.518,8.527,7.916,8.283,8.037,8.692,8.054
2021-03-04T06:00:00+00:00,8.912,8.170,8.339,7.156,8.220,8.381,7.971,7.056,9.041,10.355,7.119,7.029,8.895,9.380,8.269,8.734,8.340,8.852,8.929,10.803,7.149,9.355,8.385,6.489,7.815,6.794,9.020,9.429,8.788,8.681,8.173,9.495,7.150,9.783,7.764,9.673,11.309,8.950,8.039,10.032,7.173,9.634,8.952,8.802,8.476,8.148,8.537,10.425,8.958,9.343,7.810,8.681,8.022,9.041,9.205
2021-03-04T12:00:00+00:00,9.923,9.647,9.388,7.362,9.047,8.987,8.423,7.421,10.437,11.996,7.339,7.628,11.037,11.031,9.647,8.942,9.613,10.730,9.624,12.467,7.784,10.709,9.585,6.407,9.600,7.140,10.959,11.591,9.575,8.599,9.023,11.771,7.743,9.081,8.864,10.998,11.652,8.719,9.389,12.461,7.636,10.875,10.274,9.514,11.215,8.146,9.763,10.695,9.915,10.656,8.326,9.600,8.689,10.709,11.491
2021-03-04T18:00:00+00:00,9.332,9.905,9.501,7.513,8.764,8.459,8.201,7.524,10.954,10.676,7.169,7.101,11.474,10.346,9.742,8.143,9.526,9.954,10.451,11.397,7.799,10.167,9.295,6.497,9.678,7.036,13.093,11.323,9.277,8.544,9.045,10.823,7.521,8.116,8.782,10.079,10.377,8.257,8.638,12.166,7.655,10.141,12.451,10.994,12.247,7.742,8.625,9.644,8.794,10.236,7.903,9.332,8.187,10.346,10.926
2021-03-05T00:00:00+00:00,11.321,12.300,13.668,9.035,9.888,9.365,9.973,9.520,11.902,11.246,8.664,6.861,12.074,11.834,11.852,8.622,11.783,9.771,13.580,12.397,9.485,11.713,9.844,7.792,10.705,8.106,15.279,13.618,10.807,11.929,10.645,11.773,8.327,8.801,9.594,10.466,10.984,10.445,8.858,13.579,9.246,12.143,16.597,14.360,13.431,9.614,7.819,9.789,8.408,11.479,9.248,10.645,9.336,11.902,11.436
2021-03-05T06:00:00+00:00,16.398,17.037,22.483,11.414,12.804,11.674,14.283,12.643,14.126,14.735,16.337,8.165,14.616,17.412,17.088,11.680,15.605,11.767,18.193,18.373,12.607,15.857,12.144,10.855,14.631,10.497,19.206,18.764,13.913,20.073,14.497,15.241,10.613,11.598,12.564,12.943,14.571,15.441,11.499,18.736,13.215,17.400,18.488,16.946,16.564,15.012,8.260,11.897,9.938,15.368,13.409,14.571,12.083,16.564,14.096
