datahora,Qgr5
2019-03-04T00:00:00+00:00,85.136
2019-03-04T06:00:00+00:00,67.045
2019-03-04T12:00:00+00:00,55.330
2019-03-04T18:00:00+00:00,46.937
2019-03-05T00:00:00+00:00,40.673
2019-03-05T06:00:00+00:00,35.840
2019-03-05T12:00:00+00:00,32.011
2019-03-05T18:00:00+00:00,28.910
2019-03-06T00:00:00+00:00,26.350
2019-03-06T06:00:00+00:00,24.207
2019-03-06T12:00:00+00:00,23.441
2019-03-06T18:00:00+00:00,26.464
2019-03-07T00:00:00+00:00,30.502
2019-03-07T06:00:00+00:00,29.698
2019-03-07T12:00:00+00:00,35.785
2019-03-07T18:00:00+00:00,54.092
2019-03-08T00:00:00+00:00,69.473
2019-03-08T06:00:00+00:00,57.693
2019-03-08T12:00:00+00:00,48.617
2019-03-08T18:00:00+00:00,42.645
2019-03-09T00:00:00+00:00,38.931
2019-03-09T06:00:00+00:00,42.906
2019-03-09T12:00:00+00:00,49.810
2019-03-09T18:00:00+00:00,46.165
2019-03-10T00:00:00+00:00,45.302
2019-03-10T06:00:00+00:00,46.511
2019-03-10T12:00:00+00:00,39.709
2019-03-10T18:00:00+00:00,33.976
2019-03-11T00:00:00+00:00,30.610
2019-03-11T06:00:00+00:00,29.988
2019-03-11T12:00:00+00:00,29.814
2019-03-11T18:00:00+00:00,26.932
2019-03-12T00:00:00+00:00,24.330
2019-03-12T06:00:00+00:00,22.422
2019-03-12T12:00:00+00:00,20.997
2019-03-12T18:00:00+00:00,19.761
2019-03-13T00:00:00+00:00,18.674
2019-03-13T06:00:00+00:00,17.714
2019-03-13T12:00:00+00:00,16.864
2019-03-13T18:00:00+00:00,16.106
2019-03-14T00:00:00+00:00,15.653
2019-03-14T06:00:00+00:00,15.985
2019-03-14T12:00:00+00:00,16.461
2019-03-14T18:00:00+00:00,15.478
2019-03-15T00:00:00+00:00,14.481
2019-03-15T06:00:00+00:00,13.798
2019-03-15T12:00:00+00:00,13.326
2019-03-15T18:00:00+00:00,13.891
2019-03-16T00:00:00+00:00,18.939
2019-03-16T06:00:00+00:00,29.347
2019-03-16T12:00:00+00:00,33.312
2019-03-16T18:00:00+00:00,27.690
2019-03-17T00:00:00+00:00,23.671
2019-03-17T06:00:00+00:00,22.852
2019-03-17T12:00:00+00:00,22.635
2019-03-17T18:00:00+00:00,20.843
2019-03-18T00:00:00+00:00,19.729
2019-03-18T06:00:00+00:00,20.637
2019-03-18T12:00:00+00:00,22.042
2019-03-18T18:00:00+00:00,20.286
2019-03-19T00:00:00+00:00,18.425
2019-03-19T06:00:00+00:00,17.188
2019-03-19T12:00:00+00:00,16.385
2019-03-19T18:00:00+00:00,15.680
2019-03-20T00:00:00+00:00,15.753
2019-03-20T06:00:00+00:00,18.172
2019-03-20T12:00:00+00:00,21.068
2019-03-20T18:00:00+00:00,19.111
2019-03-21T00:00:00+00:00,18.467
2019-03-21T06:00:00+00:00,23.751
2019-03-21T12:00:00+00:00,30.804
2019-03-21T18:00:00+00:00,26.785
2019-03-22T00:00:00+00:00,22.587
2019-03-22T06:00:00+00:00,20.261
2019-03-22T12:00:00+00:00,19.130
2019-03-22T18:00:00+00:00,18.121
2019-03-23T00:00:00+00:00,17.222
2019-03-23T06:00:00+00:00,16.426
2019-03-23T12:00:00+00:00,15.717
2019-03-23T18:00:00+00:00,15.079
2019-03-24T00:00:00+00:00,14.499
2019-03-24T06:00:00+00:00,13.972
2019-03-24T12:00:00+00:00,13.493
2019-03-24T18:00:00+00:00,13.054
2019-03-25T00:00:00+00:00,12.648
2019-03-25T06:00:00+00:00,12.274
2019-03-25T12:00:00+00:00,11.930
2019-03-25T18:00:00+00:00,11.611
2019-03-26T00:00:00+00:00,11.315
2019-03-26T06:00:00+00:00,11.052
2019-03-26T12:00:00+00:00,10.811
2019-03-26T18:00:00+00:00,10.561
2019-03-27T00:00:00+00:00,10.323
2019-03-27T06:00:00+00:00,10.103
2019-03-27T12:00:00+00:00,9.902
2019-03-27T18:00:00+00:00,9.713
2019-03-28T00:00:00+00:00,9.532
2019-03-28T06:00:00+00:00,9.362
2019-03-28T12:00:00+00:00,9.202
2019-03-28T18:00:00+00:00,9.050
2019-03-29T00:00:00+00:00,8.904
2019-03-29T06:00:00+00:00,8.765
2019-03-29T12:00:00+00:00,8.635
2019-03-29T18:00:00+00:00,8.511
2019-03-30T00:00:00+00:00,8.391
2019-03-30T06:00:00+00:00,8.276
2019-03-30T12:00:00+00:00,8.167
2019-03-30T18:00:00+00:00,8.063
2019-03-31T00:00:00+00:00,7.962
2019-03-31T06:00:00+00:00,7.864
2019-03-31T12:00:00+00:00,7.772
2019-03-31T18:00:00+00:00,7.684
2019-04-01T00:00:00+00:00,7.598
