datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qsac_wrf
2021-03-03T00:00:00+00:00,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536,4.536
2021-03-03T06:00:00+00:00,9.262,9.373,9.331,9.298,9.271,9.327,9.267,9.298,9.268,9.335,9.386,9.284,9.253,9.346,9.282,9.335,9.351,9.293,9.352,9.408,9.324,9.392,9.285,9.338,9.271,9.291,9.355,9.261,9.258,9.395,9.345,9.299,9.327,9.257,9.252,9.405,9.298,9.271,9.338,9.257,9.252,9.287,9.335,9.335,9.252,9.257,9.257,9.463,9.299,9.277,9.263,9.298,9.268,9.338,9.251
2021-03-03T12:00:00+00:00,13.378,14.011,13.718,13.625,13.442,13.692,13.412,13.624,13.419,13.748,14.098,13.529,13.319,13.822,13.510,13.742,13.860,13.590,13.860,14.251,13.673,14.142,13.534,13.765,13.442,13.573,13.883,13.378,13.350,14.157,13.817,13.628,13.720,13.351,13.308,14.240,13.622,13.439,13.769,13.348,13.314,13.556,13.745,13.748,13.314,13.355,13.346,14.631,13.628,13.501,13.387,13.624,13.417,13.765,13.302
2021-03-03T18:00:00+00:00,13.934,14.944,14.471,14.338,14.021,14.462,13.974,14.289,14.041,14.612,15.076,14.071,13.799,14.675,14.111,14.592,14.715,14.260,14.805,15.520,14.342,15.235,14.179,14.475,13.938,14.153,14.824,13.928,13.900,15.313,14.657,14.322,14.563,14.107,13.744,15.473,14.572,14.130,14.511,13.897,13.751,14.304,14.591,14.614,13.734,13.970,13.833,16.217,14.384,14.289,13.912,14.322,14.009,14.612,13.746
2021-03-04T00:00:00+00:00,13.070,13.489,13.224,12.895,12.884,13.362,12.832,12.730,13.250,14.093,13.324,12.253,12.764,13.716,12.849,13.737,13.410,13.115,13.976,15.082,12.579,14.209,13.010,12.574,12.380,12.310,13.883,13.056,13.049,14.387,13.406,13.294,13.076,14.173,12.402,14.660,14.898,13.586,13.012,13.263,12.303,13.676,13.731,13.808,12.417,13.115,12.710,15.833,13.449,13.709,12.673,13.250,12.845,13.716,12.733
2021-03-04T06:00:00+00:00,12.905,12.394,12.367,11.027,12.028,12.370,11.705,10.892,12.877,14.821,10.966,10.332,12.662,13.755,12.157,12.740,12.544,13.073,13.019,15.627,10.659,13.743,12.296,9.983,11.513,10.133,13.103,13.626,12.558,12.938,12.221,13.844,11.345,13.629,11.442,14.487,15.541,12.723,12.019,14.218,10.744,13.952,12.998,12.787,12.296,11.994,12.319,15.280,12.975,13.844,11.536,12.558,11.922,13.103,13.295
2021-03-04T12:00:00+00:00,12.341,11.585,11.371,9.262,11.053,11.089,10.442,9.147,12.780,14.853,8.812,8.661,13.166,13.519,11.621,11.269,11.664,13.023,12.019,15.574,9.000,13.005,11.610,7.706,11.176,8.215,13.682,14.098,11.730,11.023,11.140,14.110,9.703,11.968,10.734,13.868,14.964,11.109,11.084,15.150,9.370,13.609,12.569,11.891,13.064,10.401,11.657,13.969,12.091,13.628,10.218,11.657,10.951,13.064,13.759
2021-03-04T18:00:00+00:00,11.514,11.353,10.709,8.494,10.400,9.645,9.610,8.138,13.038,13.711,7.234,7.129,13.549,12.497,11.475,9.692,11.185,12.064,12.360,14.352,7.910,11.869,11.075,6.458,10.727,6.936,15.202,13.950,11.209,9.718,10.526,13.235,8.363,10.276,10.209,12.730,13.302,9.599,9.878,15.229,8.594,12.589,15.090,13.144,14.312,9.054,10.103,12.195,10.461,13.100,8.963,11.075,9.636,12.730,13.717
2021-03-05T00:00:00+00:00,13.805,14.504,15.455,10.081,11.449,10.105,11.640,10.281,14.131,14.075,8.246,6.389,14.664,13.885,14.204,9.652,14.121,11.748,15.644,14.969,9.640,13.319,11.500,7.483,12.131,7.763,18.203,17.004,12.906,13.076,12.414,14.236,8.851,10.335,11.259,12.770,13.184,11.405,9.951,17.233,10.494,14.601,19.136,16.600,15.905,10.710,8.740,11.653,9.421,14.367,10.064,12.414,10.237,14.236,14.226
2021-03-05T06:00:00+00:00,18.236,18.984,23.772,12.288,14.148,11.370,15.886,12.824,16.226,16.426,17.117,7.400,17.140,18.663,19.631,12.423,17.249,12.968,20.585,19.983,12.228,16.421,13.757,10.515,15.708,9.867,22.489,20.983,15.573,20.818,16.168,16.389,10.521,12.359,14.034,14.432,15.165,15.773,12.496,21.666,14.574,18.721,22.590,19.949,19.634,16.133,8.227,12.796,10.122,17.935,13.950,15.886,12.817,18.663,16.500
