datahora,Qsac
2019-03-05T00:00:00+00:00,13.993
2019-03-05T06:00:00+00:00,18.119
2019-03-05T12:00:00+00:00,23.047
2019-03-05T18:00:00+00:00,25.360
2019-03-06T00:00:00+00:00,24.653
2019-03-06T06:00:00+00:00,22.261
2019-03-06T12:00:00+00:00,19.874
2019-03-06T18:00:00+00:00,19.385
2019-03-07T00:00:00+00:00,19.430
2019-03-07T06:00:00+00:00,19.337
2019-03-07T12:00:00+00:00,20.804
2019-03-07T18:00:00+00:00,27.350
2019-03-08T00:00:00+00:00,34.354
2019-03-08T06:00:00+00:00,37.226
2019-03-08T12:00:00+00:00,36.097
2019-03-08T18:00:00+00:00,32.702
2019-03-09T00:00:00+00:00,28.803
2019-03-09T06:00:00+00:00,27.489
2019-03-09T12:00:00+00:00,27.956
2019-03-09T18:00:00+00:00,28.510
2019-03-10T00:00:00+00:00,29.967
2019-03-10T06:00:00+00:00,30.745
2019-03-10T12:00:00+00:00,29.361
2019-03-10T18:00:00+00:00,26.561
2019-03-11T00:00:00+00:00,23.414
2019-03-11T06:00:00+00:00,21.040
2019-03-11T12:00:00+00:00,19.269
2019-03-11T18:00:00+00:00,17.732
2019-03-12T00:00:00+00:00,16.375
2019-03-12T06:00:00+00:00,15.367
2019-03-12T12:00:00+00:00,14.662
2019-03-12T18:00:00+00:00,14.153
2019-03-13T00:00:00+00:00,13.865
2019-03-13T06:00:00+00:00,13.687
2019-03-13T12:00:00+00:00,13.573
2019-03-13T18:00:00+00:00,13.534
2019-03-14T00:00:00+00:00,13.764
2019-03-14T06:00:00+00:00,14.283
2019-03-14T12:00:00+00:00,14.586
2019-03-14T18:00:00+00:00,14.507
2019-03-15T00:00:00+00:00,14.211
2019-03-15T06:00:00+00:00,13.875
2019-03-15T12:00:00+00:00,13.589
2019-03-15T18:00:00+00:00,13.713
2019-03-16T00:00:00+00:00,16.014
2019-03-16T06:00:00+00:00,20.932
2019-03-16T12:00:00+00:00,25.110
2019-03-16T18:00:00+00:00,26.318
2019-03-17T00:00:00+00:00,25.384
2019-03-17T06:00:00+00:00,23.591
2019-03-17T12:00:00+00:00,21.524
2019-03-17T18:00:00+00:00,19.404
2019-03-18T00:00:00+00:00,17.656
2019-03-18T06:00:00+00:00,16.945
2019-03-18T12:00:00+00:00,16.696
2019-03-18T18:00:00+00:00,16.223
2019-03-19T00:00:00+00:00,15.623
2019-03-19T06:00:00+00:00,15.047
2019-03-19T12:00:00+00:00,14.494
