datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-03-11T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000
2021-03-11T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.239
2021-03-11T18:00:00+00:00,0.910,1.040,1.730,0.930,0.840,1.160,0.900,0.910,1.200,0.580,0.730,0.590,1.030,0.940,0.630,0.890,1.080,1.240,0.640,0.950,0.880,0.220,0.800,0.950,1.020,1.990,1.010,0.620,0.750,0.780,0.840,0.820,0.970,0.070,1.220,0.930,0.910,0.510,0.780,0.770,1.070,0.300,1.730,1.220,0.680,1.170,0.380,0.570,1.150,0.410,1.070,0.310,2.239
2021-03-12T00:00:00+00:00,0.000,0.300,0.680,0.130,0.230,0.190,0.030,0.180,0.190,0.190,0.050,0.050,0.070,0.050,0.060,0.770,0.010,0.530,0.120,0.240,0.010,0.160,0.060,0.050,0.130,0.240,0.010,0.130,0.110,0.020,0.050,0.160,0.090,0.000,0.210,0.420,0.330,0.000,0.600,0.300,0.260,0.010,0.140,0.520,0.170,0.150,0.000,0.110,0.120,0.230,0.500,0.020,0.000
2021-03-12T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-12T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.173
2021-03-12T18:00:00+00:00,0.390,0.020,0.010,0.150,0.040,0.120,0.140,0.040,0.200,0.270,0.390,0.090,0.000,0.000,0.740,0.430,0.000,0.380,0.550,0.860,0.420,0.060,0.100,0.020,0.440,0.040,0.520,0.090,0.650,0.350,0.590,0.500,0.100,0.020,0.130,0.010,0.410,0.000,0.190,0.140,0.110,0.010,0.210,0.000,0.180,0.330,0.190,0.140,0.010,0.160,0.020,0.000,2.173
2021-03-13T00:00:00+00:00,0.000,0.010,0.000,0.020,0.000,0.000,0.000,0.000,0.030,0.030,0.020,0.000,0.000,0.000,0.140,0.010,0.000,0.040,0.030,0.610,0.010,0.010,0.000,0.050,0.070,0.010,0.060,0.010,0.030,0.020,0.040,0.000,0.010,0.010,0.000,0.000,0.050,0.000,0.000,0.000,0.010,0.000,0.030,0.000,0.050,0.050,0.020,0.010,0.000,0.000,0.000,0.000,0.000
2021-03-13T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-13T12:00:00+00:00,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.228
