datahora,Qgr5_wrf
2021-03-26T00:00:00+00:00,7.445
2021-03-26T06:00:00+00:00,6.726
2021-03-26T12:00:00+00:00,6.522
2021-03-26T18:00:00+00:00,6.381
2021-03-27T00:00:00+00:00,6.258
2021-03-27T06:00:00+00:00,6.206
2021-03-27T12:00:00+00:00,6.178
2021-03-27T18:00:00+00:00,6.047
2021-03-28T00:00:00+00:00,5.933
2021-03-28T06:00:00+00:00,5.904
2021-03-28T12:00:00+00:00,5.906
2021-03-28T18:00:00+00:00,5.784
2021-03-29T00:00:00+00:00,5.707
2021-03-29T06:00:00+00:00,5.822
2021-03-29T12:00:00+00:00,5.986
2021-03-29T18:00:00+00:00,5.783
2021-03-30T00:00:00+00:00,5.578
2021-03-30T06:00:00+00:00,5.499
2021-03-30T12:00:00+00:00,5.483
2021-03-30T18:00:00+00:00,5.386
2021-03-31T00:00:00+00:00,5.310
2021-03-31T06:00:00+00:00,5.324
2021-03-31T12:00:00+00:00,5.364
2021-03-31T18:00:00+00:00,5.248
2021-04-01T00:00:00+00:00,5.126
2021-04-01T06:00:00+00:00,5.044
2021-04-01T12:00:00+00:00,4.988
2021-04-01T18:00:00+00:00,4.934
2021-04-02T00:00:00+00:00,4.881
