datahora,Qsac_wrf
2021-03-26T00:00:00+00:00,7.445
2021-03-26T06:00:00+00:00,6.820
2021-03-26T12:00:00+00:00,6.186
2021-03-26T18:00:00+00:00,5.685
2021-03-27T00:00:00+00:00,5.412
2021-03-27T06:00:00+00:00,5.296
2021-03-27T12:00:00+00:00,5.204
2021-03-27T18:00:00+00:00,5.108
2021-03-28T00:00:00+00:00,5.085
2021-03-28T06:00:00+00:00,5.135
2021-03-28T12:00:00+00:00,5.137
2021-03-28T18:00:00+00:00,5.078
2021-03-29T00:00:00+00:00,5.089
2021-03-29T06:00:00+00:00,5.238
2021-03-29T12:00:00+00:00,5.322
2021-03-29T18:00:00+00:00,5.266
2021-03-30T00:00:00+00:00,5.207
2021-03-30T06:00:00+00:00,5.166
2021-03-30T12:00:00+00:00,5.084
2021-03-30T18:00:00+00:00,4.976
2021-03-31T00:00:00+00:00,4.941
2021-03-31T06:00:00+00:00,4.983
2021-03-31T12:00:00+00:00,4.986
2021-03-31T18:00:00+00:00,4.914
2021-04-01T00:00:00+00:00,4.809
2021-04-01T06:00:00+00:00,4.713
2021-04-01T12:00:00+00:00,4.637
2021-04-01T18:00:00+00:00,4.581
2021-04-02T00:00:00+00:00,4.544
