datahora,pme_wrf,etp
2021-03-26T06:00:00+00:00,0.000,0.000
2021-03-26T12:00:00+00:00,0.000,1.805
2021-03-26T18:00:00+00:00,0.560,1.805
2021-03-27T00:00:00+00:00,0.330,0.000
2021-03-27T06:00:00+00:00,0.000,0.000
2021-03-27T12:00:00+00:00,0.000,1.665
2021-03-27T18:00:00+00:00,0.670,1.665
2021-03-28T00:00:00+00:00,0.400,0.000
2021-03-28T06:00:00+00:00,0.020,0.000
2021-03-28T12:00:00+00:00,0.000,1.674
2021-03-28T18:00:00+00:00,0.610,1.674
2021-03-29T00:00:00+00:00,1.180,0.000
2021-03-29T06:00:00+00:00,0.000,0.000
2021-03-29T12:00:00+00:00,0.000,1.715
2021-03-29T18:00:00+00:00,0.600,1.715
2021-03-30T00:00:00+00:00,0.270,0.000
2021-03-30T06:00:00+00:00,0.000,0.000
2021-03-30T12:00:00+00:00,0.000,1.813
2021-03-30T18:00:00+00:00,0.510,1.813
2021-03-31T00:00:00+00:00,0.520,0.000
2021-03-31T06:00:00+00:00,0.000,0.000
2021-03-31T12:00:00+00:00,0.000,1.765
2021-03-31T18:00:00+00:00,0.000,1.765
2021-04-01T00:00:00+00:00,0.000,0.000
2021-04-01T06:00:00+00:00,0.000,0.000
2021-04-01T12:00:00+00:00,0.000,2.022
2021-04-01T18:00:00+00:00,0.000,2.022
2021-04-02T00:00:00+00:00,0.000,0.000
