datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qmax,Qmin,Qsac_wrf
2021-03-25T00:00:00+00:00,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012,3.012
2021-03-25T06:00:00+00:00,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842,3.842
2021-03-25T12:00:00+00:00,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910,4.910
2021-03-25T18:00:00+00:00,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315,5.315
2021-03-26T00:00:00+00:00,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012,5.012
2021-03-26T06:00:00+00:00,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406,4.406
2021-03-26T12:00:00+00:00,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813,3.813
2021-03-26T18:00:00+00:00,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370,3.370
2021-03-27T00:00:00+00:00,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284,3.284
2021-03-27T06:00:00+00:00,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005,4.005
2021-03-27T12:00:00+00:00,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678,4.678
2021-03-27T18:00:00+00:00,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747,4.747
2021-03-28T00:00:00+00:00,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817
2021-03-28T06:00:00+00:00,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137,6.137
2021-03-28T12:00:00+00:00,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224,7.224
2021-03-28T18:00:00+00:00,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057,7.057
2021-03-29T00:00:00+00:00,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111,6.111
2021-03-29T06:00:00+00:00,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056,5.056
2021-03-29T12:00:00+00:00,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188,4.188
2021-03-29T18:00:00+00:00,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
2021-03-30T00:00:00+00:00,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300,3.300
2021-03-30T06:00:00+00:00,3.771,3.771,3.771,3.772,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.772,3.776,3.771,3.771,3.771,3.779,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.786,3.771,3.771,3.773,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.771,3.773,3.771,3.771,3.771,3.786,3.771,3.771
2021-03-30T12:00:00+00:00,4.235,4.234,4.234,4.239,4.234,4.234,4.234,4.234,4.235,4.234,4.234,4.239,4.268,4.255,4.234,4.234,4.291,4.234,4.234,4.237,4.234,4.234,4.235,4.234,4.234,4.234,4.335,4.234,4.234,4.246,4.234,4.238,4.234,4.234,4.234,4.236,4.234,4.234,4.234,4.234,4.234,4.249,4.236,4.237,4.234,4.234,4.234,4.236,4.234,4.234,4.246,4.234,4.234,4.236,4.335,4.234,4.234
2021-03-30T18:00:00+00:00,4.284,4.238,4.256,4.288,4.249,4.223,4.426,4.241,4.240,4.342,4.231,4.276,4.287,4.452,4.231,4.246,4.351,4.276,4.227,4.280,4.315,4.235,4.240,4.263,4.268,4.249,4.414,4.271,4.264,4.349,4.251,4.296,4.286,4.233,4.287,4.351,4.265,4.251,4.276,4.253,4.259,4.406,4.230,4.274,4.243,4.249,4.333,4.292,4.215,4.253,4.314,4.265,4.245,4.288,4.452,4.215,4.222
2021-03-31T00:00:00+00:00,4.322,4.044,4.195,4.340,4.124,3.946,5.418,4.059,4.045,4.787,4.005,4.255,4.047,4.813,3.985,4.093,4.320,4.299,3.968,4.262,4.561,4.023,4.088,4.255,4.255,4.121,4.262,4.291,4.210,4.704,4.141,4.397,4.369,4.002,4.401,4.783,4.273,4.125,4.327,4.155,4.204,4.767,3.973,4.203,4.077,4.131,4.689,4.435,3.914,4.163,4.442,4.210,4.085,4.340,5.418,3.914,3.925
2021-03-31T06:00:00+00:00,4.372,3.861,4.251,4.421,4.007,3.684,6.816,3.901,3.871,5.377,3.836,4.252,3.871,5.198,3.708,3.911,4.648,4.331,3.721,4.316,4.767,3.800,4.149,4.427,4.269,4.008,4.270,4.428,4.145,5.137,4.073,4.557,4.431,3.775,4.613,5.345,4.481,3.965,4.504,4.098,4.243,5.424,3.712,4.114,3.925,4.064,5.010,4.916,3.757,4.146,4.549,4.251,3.922,4.504,6.816,3.684,3.600
2021-03-31T12:00:00+00:00,4.170,3.604,4.135,4.238,3.764,3.412,7.271,3.660,3.623,5.409,3.619,4.042,3.658,5.106,3.394,3.621,4.785,4.124,3.453,4.165,4.559,3.517,4.110,4.386,4.070,3.770,4.172,4.330,3.898,5.076,3.868,4.418,4.205,3.502,4.517,5.360,4.465,3.677,4.421,3.895,4.102,5.613,3.425,3.859,3.677,3.866,4.835,5.074,3.612,3.978,4.334,4.102,3.673,4.418,7.271,3.394,3.279
2021-03-31T18:00:00+00:00,3.788,3.308,3.814,3.853,3.443,3.148,6.619,3.363,3.329,4.905,3.346,3.682,3.382,4.603,3.107,3.301,4.491,3.747,3.184,3.817,4.088,3.224,3.843,4.059,3.710,3.450,3.868,3.977,3.546,4.588,3.548,4.023,3.800,3.219,4.126,4.858,4.138,3.346,4.059,3.571,3.772,5.171,3.150,3.511,3.371,3.552,4.325,4.725,3.385,3.657,3.910,3.747,3.380,4.059,6.619,3.107,3.013
2021-04-01T00:00:00+00:00,3.386,3.040,3.433,3.437,3.137,2.927,5.537,3.083,3.058,4.224,3.080,3.312,3.109,3.986,2.885,3.025,3.984,3.356,2.954,3.424,3.587,2.974,3.479,3.625,3.334,3.143,3.485,3.549,3.206,3.978,3.221,3.567,3.388,2.975,3.651,4.188,3.689,3.056,3.610,3.238,3.395,4.465,2.923,3.180,3.087,3.226,3.760,4.145,3.131,3.308,3.471,3.356,3.104,3.587,5.537,2.885,2.818
