datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qmax,Qmin,Qsac_wrf
2021-03-30T00:00:00+00:00,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773,6.773
2021-03-30T06:00:00+00:00,7.186,7.186,7.186,7.187,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.187,7.193,7.186,7.186,7.186,7.198,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.207,7.186,7.186,7.188,7.186,7.187,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.186,7.188,7.186,7.186,7.186,7.207,7.186,7.186
2021-03-30T12:00:00+00:00,7.594,7.592,7.592,7.599,7.592,7.592,7.592,7.593,7.593,7.592,7.592,7.599,7.640,7.613,7.592,7.592,7.673,7.593,7.592,7.595,7.592,7.592,7.593,7.592,7.592,7.592,7.734,7.592,7.593,7.609,7.592,7.598,7.592,7.593,7.592,7.594,7.592,7.592,7.592,7.592,7.592,7.607,7.595,7.595,7.592,7.592,7.592,7.594,7.592,7.592,7.609,7.592,7.592,7.594,7.734,7.592,7.592
2021-03-30T18:00:00+00:00,7.552,7.506,7.524,7.560,7.517,7.491,7.735,7.509,7.508,7.628,7.498,7.547,7.582,7.733,7.498,7.514,7.664,7.544,7.495,7.548,7.590,7.503,7.508,7.531,7.536,7.517,7.762,7.538,7.532,7.639,7.519,7.567,7.554,7.501,7.555,7.637,7.533,7.519,7.543,7.521,7.526,7.683,7.499,7.542,7.510,7.517,7.615,7.560,7.483,7.521,7.591,7.533,7.513,7.560,7.762,7.483,7.490
2021-03-31T00:00:00+00:00,7.488,7.211,7.361,7.511,7.290,7.113,8.931,7.225,7.212,8.097,7.171,7.425,7.242,8.088,7.152,7.260,7.553,7.465,7.135,7.428,7.779,7.189,7.255,7.428,7.421,7.288,7.513,7.462,7.376,7.983,7.307,7.573,7.535,7.168,7.578,8.087,7.449,7.291,7.501,7.321,7.371,8.030,7.141,7.369,7.244,7.297,7.960,7.631,7.081,7.329,7.621,7.376,7.252,7.535,8.931,7.081,7.092
2021-03-31T06:00:00+00:00,7.454,6.945,7.334,7.515,7.091,6.769,10.768,6.985,6.955,8.834,6.920,7.338,6.979,8.581,6.792,6.995,7.899,7.414,6.806,7.399,7.973,6.884,7.232,7.556,7.352,7.092,7.423,7.543,7.228,8.506,7.157,7.692,7.514,6.859,7.769,8.793,7.628,7.049,7.639,7.182,7.326,8.841,6.798,7.197,7.009,7.148,8.327,8.204,6.841,7.230,7.666,7.334,7.005,7.639,10.768,6.769,6.685
2021-03-31T12:00:00+00:00,7.195,6.630,7.160,7.281,6.790,6.439,11.432,6.686,6.649,8.945,6.646,7.070,6.701,8.556,6.421,6.647,8.087,7.148,6.480,7.190,7.742,6.544,7.134,7.502,7.095,6.795,7.249,7.417,6.924,8.496,6.893,7.542,7.231,6.529,7.684,8.891,7.616,6.703,7.548,6.921,7.126,9.170,6.453,6.885,6.703,6.892,8.144,8.497,6.638,7.003,7.417,7.126,6.703,7.542,11.432,6.421,6.306
2021-03-31T18:00:00+00:00,6.773,6.294,6.799,6.857,6.429,6.135,10.679,6.349,6.315,8.373,6.332,6.669,6.380,7.995,6.094,6.287,7.757,6.732,6.171,6.802,7.218,6.210,6.828,7.139,6.695,6.436,6.888,7.028,6.531,7.949,6.533,7.111,6.786,6.205,7.261,8.323,7.256,6.332,7.152,6.557,6.757,8.687,6.137,6.497,6.358,6.537,7.565,8.129,6.371,6.643,6.954,6.732,6.368,7.139,10.679,6.094,6.000
2021-04-01T00:00:00+00:00,6.345,6.000,6.391,6.411,6.096,5.887,9.334,6.043,6.018,7.564,6.039,6.271,6.076,7.269,5.845,5.984,7.174,6.314,5.913,6.382,6.659,5.934,6.437,6.662,6.292,6.103,6.467,6.563,6.165,7.235,6.180,6.612,6.348,5.935,6.735,7.526,6.759,6.016,6.659,6.197,6.354,7.854,5.883,6.139,6.046,6.185,6.914,7.454,6.090,6.267,6.478,6.314,6.069,6.659,9.334,5.845,5.778
2021-04-01T06:00:00+00:00,6.002,5.779,6.044,6.047,5.841,5.707,8.038,5.808,5.792,6.831,5.810,5.955,5.836,6.628,5.673,5.764,6.600,5.982,5.724,6.033,6.205,5.734,6.086,6.234,5.969,5.846,6.102,6.160,5.883,6.605,5.899,6.187,6.003,5.736,6.275,6.806,6.304,5.784,6.226,5.910,6.017,7.051,5.702,5.866,5.809,5.903,6.374,6.788,5.854,5.959,6.095,5.982,5.830,6.205,8.038,5.673,5.631
