datahora,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qmax,Qmin,Qsac_wrf
2021-04-01T00:00:00+00:00,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062,6.062
2021-04-01T06:00:00+00:00,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927,5.927
2021-04-01T12:00:00+00:00,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848,5.848
2021-04-01T18:00:00+00:00,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801,5.801
2021-04-02T00:00:00+00:00,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758,5.758
2021-04-02T06:00:00+00:00,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750,5.750
2021-04-02T12:00:00+00:00,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743,5.743
2021-04-02T18:00:00+00:00,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736,5.736
2021-04-03T00:00:00+00:00,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.732,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.730,5.732,5.730,5.734
2021-04-03T06:00:00+00:00,5.724,5.724,5.724,5.724,5.724,5.726,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.724,5.748,5.724,5.724,5.724,5.726,5.739,5.724,5.724,5.724,5.724,5.724,5.724,5.725,5.724,5.724,5.724,5.748,5.724,5.740
