datahora,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qmax,Qmin,Qgr5_wrf
2021-04-05T00:00:00+00:00,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417,5.417
2021-04-05T06:00:00+00:00,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341,5.341
2021-04-05T12:00:00+00:00,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289,5.289
2021-04-05T18:00:00+00:00,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202,5.202
2021-04-06T00:00:00+00:00,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115,5.115
2021-04-06T06:00:00+00:00,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.045,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.043,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.041,5.045,5.041,5.041
2021-04-06T12:00:00+00:00,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.979,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.995,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.981,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.977,4.995,4.977,4.977
2021-04-06T18:00:00+00:00,4.915,4.915,4.915,4.915,4.915,4.915,4.916,4.915,4.919,4.915,4.916,4.915,4.915,4.916,4.915,4.916,4.915,4.915,4.915,4.915,4.915,4.915,4.915,4.916,4.915,4.950,4.915,4.916,4.916,4.915,4.915,4.915,4.915,4.916,4.915,4.918,4.916,4.916,4.915,4.916,4.915,4.915,4.915,4.916,4.915,4.915,4.915,4.915,4.915,4.916,4.915,4.915,4.915,4.916,4.950,4.915,4.997
2021-04-07T00:00:00+00:00,4.861,4.857,4.856,4.858,4.857,4.859,4.858,4.856,4.870,4.856,4.871,4.860,4.856,4.881,4.859,4.861,4.856,4.870,4.856,4.856,4.864,4.857,4.858,4.865,4.869,4.881,4.856,4.882,4.879,4.859,4.856,4.857,4.856,4.875,4.856,4.858,4.856,4.891,4.856,4.857,4.857,4.856,4.856,4.858,4.857,4.859,4.861,4.862,4.859,4.877,4.856,4.858,4.856,4.862,4.891,4.856,5.262
2021-04-07T06:00:00+00:00,4.823,4.805,4.798,4.807,4.804,4.813,4.810,4.798,4.855,4.798,4.874,4.817,4.798,4.922,4.814,4.826,4.798,4.869,4.798,4.800,4.839,4.804,4.811,4.844,4.863,4.817,4.798,4.928,4.916,4.815,4.798,4.806,4.800,4.893,4.798,4.800,4.798,4.970,4.798,4.802,4.806,4.798,4.798,4.808,4.804,4.812,4.823,4.829,4.816,4.901,4.798,4.808,4.798,4.826,4.970,4.798,5.582
