datahora,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qmax,Qmin,Qgr5_wrf
2021-04-16T00:00:00+00:00,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
2021-04-16T06:00:00+00:00,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.670,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.670,4.669,4.669
2021-04-16T12:00:00+00:00,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.655,4.654,4.654,4.654,4.657,4.655,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.654,4.657,4.654,4.654
2021-04-16T18:00:00+00:00,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.642,4.639,4.668,4.639,4.644,4.642,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.639,4.668,4.639,4.639
2021-04-17T00:00:00+00:00,4.626,4.627,4.665,4.633,4.658,4.625,4.625,4.651,4.627,4.625,4.639,4.663,4.641,4.626,4.625,4.625,4.631,4.633,4.625,4.626,4.625,4.625,4.643,4.627,4.632,4.793,4.630,4.644,4.635,4.643,4.629,4.667,4.626,4.625,4.628,4.626,4.625,4.627,4.625,4.625,4.630,4.625,4.625,4.625,4.625,4.625,4.626,4.631,4.626,4.636,4.628,4.627,4.625,4.633,4.793,4.625,4.627
2021-04-17T06:00:00+00:00,4.619,4.624,4.830,4.649,4.777,4.613,4.610,4.736,4.624,4.611,4.679,4.798,4.688,4.616,4.611,4.610,4.639,4.651,4.613,4.615,4.610,4.610,4.699,4.617,4.645,5.016,4.637,4.693,4.655,4.698,4.633,4.821,4.615,4.613,4.628,4.616,4.610,4.620,4.610,4.610,4.638,4.611,4.614,4.610,4.611,4.611,4.619,4.643,4.615,4.667,4.625,4.620,4.612,4.651,5.016,4.610,4.624
2021-04-17T12:00:00+00:00,4.613,4.623,5.079,4.671,4.927,4.601,4.596,4.837,4.623,4.598,4.727,4.953,4.744,4.608,4.598,4.596,4.652,4.673,4.601,4.606,4.596,4.597,4.765,4.614,4.663,5.048,4.647,4.756,4.681,4.763,4.641,5.012,4.606,4.602,4.631,4.608,4.596,4.615,4.596,4.596,4.651,4.598,4.603,4.596,4.598,4.598,4.613,4.659,4.606,4.705,4.625,4.615,4.600,4.673,5.079,4.596,4.623
2021-04-17T18:00:00+00:00,4.662,4.709,5.180,4.762,4.926,4.701,4.582,4.930,4.660,4.596,4.768,5.008,5.029,4.927,4.584,4.731,4.970,5.165,4.586,4.634,4.582,4.585,5.053,4.607,5.073,5.141,4.779,4.794,4.794,4.857,4.836,5.306,4.732,4.614,4.680,4.793,4.672,4.678,4.743,4.718,4.812,4.584,4.701,4.608,4.595,4.680,4.662,4.755,4.642,4.824,4.602,4.731,4.640,4.836,5.306,4.582,4.615
2021-04-18T00:00:00+00:00,5.176,5.343,5.541,5.233,5.237,5.151,4.728,5.573,5.032,4.741,5.148,5.616,6.464,6.363,4.657,5.446,6.311,7.261,4.882,4.907,4.594,4.683,6.421,4.610,6.819,6.150,5.409,5.235,5.427,5.414,5.667,6.887,5.319,4.786,4.989,5.576,5.148,5.101,5.415,5.444,5.554,4.684,5.232,4.749,4.788,5.096,4.953,5.266,4.841,5.485,4.583,5.235,4.900,5.541,7.261,4.583,4.656
2021-04-18T06:00:00+00:00,6.540,6.962,6.198,5.847,6.017,5.723,5.328,6.534,5.919,5.213,5.829,6.586,8.663,8.583,4.985,6.720,7.925,9.925,6.130,5.547,4.677,5.105,8.242,4.684,9.026,7.599,6.280,6.262,6.418,6.142,6.651,9.323,6.237,5.223,5.520,6.536,6.093,5.943,6.392,6.885,6.602,5.136,6.213,5.061,5.749,5.754,5.430,6.012,5.104,6.467,4.588,6.142,5.540,6.586,9.925,4.588,4.742
2021-04-18T12:00:00+00:00,7.628,8.634,6.010,5.554,6.388,5.475,6.021,6.329,6.475,5.661,5.898,6.385,8.499,8.765,5.378,7.059,6.960,8.624,7.834,5.956,4.774,5.590,7.496,4.779,7.953,7.050,6.099,6.890,6.368,5.748,6.025,8.953,6.436,5.519,5.579,6.038,6.477,6.266,6.317,7.471,6.421,5.730,6.617,5.219,7.729,5.782,5.454,5.861,4.990,6.288,4.613,6.288,5.713,6.960,8.953,4.613,4.736
2021-04-18T18:00:00+00:00,6.739,8.851,5.439,5.078,5.961,5.046,5.558,5.770,5.802,5.291,5.560,5.755,7.071,7.850,5.166,6.234,5.795,6.771,7.684,5.519,4.749,5.385,6.243,4.699,6.453,5.981,5.621,6.392,5.741,5.189,5.293,7.359,6.469,5.174,5.178,5.346,5.787,5.705,5.800,6.410,5.821,5.627,6.207,4.966,9.421,5.328,5.094,5.292,4.848,5.547,4.625,5.705,5.292,6.234,9.421,4.625,4.648
2021-04-19T00:00:00+00:00,5.957,7.943,5.098,4.855,5.452,4.821,5.036,5.407,5.193,4.910,5.799,5.420,6.068,6.712,4.994,5.559,5.314,5.953,7.626,5.071,4.935,5.517,5.845,4.622,5.945,5.435,5.200,5.618,5.701,4.939,5.008,6.401,6.613,4.864,4.888,5.021,5.202,5.470,5.547,5.541,5.355,5.671,5.538,4.755,10.128,4.991,4.846,4.956,5.027,5.106,4.650,5.355,4.993,5.671,10.128,4.622,4.585
2021-04-19T06:00:00+00:00,5.835,7.235,5.030,4.851,5.295,4.772,4.837,5.386,5.003,4.788,6.392,5.459,5.794,6.256,5.139,5.396,5.278,5.910,7.964,4.956,5.354,5.963,6.042,4.641,6.144,5.336,5.042,5.236,6.317,4.943,5.043,6.235,7.127,4.802,4.836,4.990,5.029,5.664,5.679,5.274,5.234,6.136,5.238,4.718,10.913,4.945,4.826,4.880,5.380,4.997,4.704,5.274,4.953,5.835,10.913,4.641,4.567
2021-04-19T12:00:00+00:00,5.663,6.642,5.033,4.877,5.248,4.753,4.830,5.321,5.016,4.805,5.930,5.401,5.765,6.079,5.258,5.353,5.260,5.939,7.958,5.011,5.406,5.609,5.881,4.702,6.099,5.310,4.998,5.145,6.428,4.975,5.095,6.119,6.581,4.854,4.869,4.994,5.039,5.512,5.535,5.269,5.198,5.975,5.198,4.755,10.291,5.004,4.880,4.869,5.236,4.973,4.664,5.248,4.989,5.663,10.291,4.664,4.563
2021-04-19T18:00:00+00:00,5.439,6.245,4.993,4.830,5.143,4.735,4.802,5.187,4.971,4.766,5.401,5.242,5.692,5.937,5.034,5.247,5.222,5.846,7.014,4.935,5.053,5.162,5.634,4.644,5.869,5.274,4.963,5.115,5.871,4.920,5.026,5.976,5.903,4.793,4.816,4.952,4.992,5.227,5.281,5.223,5.136,5.456,5.134,4.706,8.623,4.927,4.817,4.843,4.942,4.950,4.586,5.134,4.933,5.401,8.623,4.586,4.544
2021-04-20T00:00:00+00:00,5.321,6.056,4.950,4.780,5.073,4.717,4.773,5.094,4.926,4.723,5.180,5.135,5.619,5.826,4.842,5.166,5.186,5.748,6.366,4.853,4.805,4.978,5.498,4.579,5.717,5.240,4.926,5.085,5.459,4.861,4.959,5.880,5.572,4.726,4.761,4.911,4.941,5.075,5.185,5.177,5.067,5.149,5.065,4.653,7.573,4.845,4.746,4.820,4.787,4.929,4.538,5.065,4.836,5.186,7.573,4.538,4.525
2021-04-20T06:00:00+00:00,5.285,6.005,4.921,4.750,5.074,4.703,4.752,5.056,4.907,4.697,5.168,5.101,5.572,5.762,4.782,5.126,5.158,5.687,6.208,4.814,4.754,5.001,5.452,4.559,5.731,5.217,4.899,5.059,5.326,4.827,4.945,5.842,5.507,4.690,4.738,4.890,4.909,5.052,5.347,5.155,5.030,5.098,5.024,4.624,7.255,4.809,4.707,4.808,4.762,4.911,4.520,5.024,4.802,5.217,7.255,4.520,4.513
2021-04-20T12:00:00+00:00,5.260,5.980,4.902,4.732,5.090,4.690,4.736,5.036,4.900,4.682,5.166,5.089,5.540,5.716,4.781,5.101,5.135,5.647,6.245,4.800,4.771,5.042,5.418,4.564,5.792,5.198,4.878,5.033,5.299,4.807,4.956,5.818,5.478,4.674,4.732,4.879,4.887,5.052,5.558,5.142,5.013,5.112,5.001,4.610,7.183,4.800,4.690,4.802,4.761,4.895,4.508,5.013,4.795,5.198,7.183,4.508,4.504
2021-04-20T18:00:00+00:00,5.226,5.912,4.879,4.715,5.037,4.672,4.718,5.009,4.871,4.666,5.124,5.055,5.497,5.672,4.753,5.073,5.106,5.603,6.131,4.779,4.732,4.981,5.382,4.539,5.688,5.164,4.858,5.009,5.264,4.789,4.915,5.757,5.436,4.658,4.708,4.853,4.867,5.013,5.385,5.106,4.983,5.063,4.977,4.595,7.063,4.776,4.674,4.776,4.733,4.872,4.496,4.981,4.770,5.164,7.063,4.496,4.490
2021-04-21T00:00:00+00:00,5.192,5.843,4.857,4.699,4.983,4.654,4.700,4.983,4.841,4.649,5.088,5.021,5.457,5.628,4.723,5.054,5.076,5.560,6.021,4.757,4.694,4.915,5.346,4.514,5.576,5.129,4.838,4.985,5.230,4.771,4.873,5.697,5.395,4.643,4.684,4.827,4.846,4.973,5.192,5.070,4.954,5.017,4.953,4.580,6.967,4.752,4.659,4.751,4.715,4.848,4.483,4.953,4.744,5.129,6.967,4.483,4.476
2021-04-21T06:00:00+00:00,5.163,5.790,4.836,4.685,4.949,4.637,4.683,4.961,4.817,4.633,5.083,4.993,5.427,5.586,4.701,5.061,5.051,5.521,5.979,4.738,4.681,4.876,5.312,4.498,5.510,5.101,4.819,4.962,5.202,4.756,4.848,5.648,5.359,4.628,4.665,4.805,4.827,4.943,5.102,5.040,4.928,5.009,4.930,4.566,6.957,4.734,4.643,4.733,4.733,4.826,4.470,4.928,4.733,5.101,6.957,4.470,4.463
2021-04-21T12:00:00+00:00,5.136,5.746,4.816,4.673,4.927,4.622,4.667,4.943,4.798,4.618,5.088,4.970,5.402,5.546,4.685,5.073,5.029,5.486,5.967,4.721,4.679,4.855,5.279,4.489,5.472,5.076,4.801,4.939,5.176,4.742,4.833,5.607,5.327,4.615,4.650,4.786,4.809,4.921,5.075,5.015,4.907,5.016,4.909,4.553,6.971,4.719,4.628,4.720,4.762,4.807,4.459,4.907,4.719,5.076,6.971,4.459,4.452
