datahora,chuva_mm,etp_mm,q_m3s
2019-06-26T00:00:00+00:00,0.000,0.000,7.977
2019-06-26T06:00:00+00:00,0.000,0.000,8.340
2019-06-26T12:00:00+00:00,0.000,0.706,8.150
2019-06-26T18:00:00+00:00,1.230,0.706,8.238
2019-06-27T00:00:00+00:00,0.810,0.000,8.417
2019-06-27T06:00:00+00:00,0.110,0.000,8.320
2019-06-27T12:00:00+00:00,0.000,0.818,8.778
2019-06-27T18:00:00+00:00,0.110,0.818,9.043
2019-06-28T00:00:00+00:00,0.000,0.000,9.135
2019-06-28T06:00:00+00:00,0.000,0.000,9.227
2019-06-28T12:00:00+00:00,0.000,0.828,8.860
2019-06-28T18:00:00+00:00,0.000,0.828,8.768
2019-06-29T00:00:00+00:00,0.000,0.000,8.488
2019-06-29T06:00:00+00:00,0.000,0.000,8.575
2019-06-29T12:00:00+00:00,0.000,0.815,8.392
2019-06-29T18:00:00+00:00,0.000,0.815,8.292
2019-06-30T00:00:00+00:00,0.000,0.000,8.198
2019-06-30T06:00:00+00:00,0.000,0.000,8.192
2019-06-30T12:00:00+00:00,0.000,1.025,8.097
2019-06-30T18:00:00+00:00,0.000,1.025,7.997
2019-07-01T00:00:00+00:00,0.000,0.000,7.902
2019-07-01T06:00:00+00:00,0.000,0.000,8.077
2019-07-01T12:00:00+00:00,0.000,0.877,7.888
2019-07-01T18:00:00+00:00,0.000,0.877,7.975
2019-07-02T00:00:00+00:00,0.000,0.000,7.693
2019-07-02T06:00:00+00:00,0.000,0.000,7.872
2019-07-02T12:00:00+00:00,0.000,0.860,7.955
2019-07-02T18:00:00+00:00,0.000,0.860,7.860
2019-07-03T00:00:00+00:00,0.000,0.000,7.762
2019-07-03T06:00:00+00:00,0.000,0.000,7.753
2019-07-03T12:00:00+00:00,0.000,0.825,8.117
2019-07-03T18:00:00+00:00,14.560,0.825,10.042
2019-07-04T00:00:00+00:00,0.530,0.000,9.677
2019-07-04T06:00:00+00:00,10.700,0.000,10.135
2019-07-04T12:00:00+00:00,5.940,0.942,11.055
2019-07-04T18:00:00+00:00,0.870,0.942,11.430
2019-07-05T00:00:00+00:00,0.650,0.000,11.622
2019-07-05T06:00:00+00:00,11.630,0.000,12.920
2019-07-05T12:00:00+00:00,2.430,1.007,12.198
2019-07-05T18:00:00+00:00,0.000,1.007,12.118
2019-07-06T00:00:00+00:00,0.000,0.000,11.030
2019-07-06T06:00:00+00:00,0.000,0.000,11.035
2019-07-06T12:00:00+00:00,0.000,0.980,10.032
2019-07-06T18:00:00+00:00,0.000,0.980,9.390
2019-07-07T00:00:00+00:00,0.000,0.000,8.748
2019-07-07T06:00:00+00:00,0.000,0.000,8.565
2019-07-07T12:00:00+00:00,0.030,0.945,8.190
2019-07-07T18:00:00+00:00,0.000,0.945,8.097
2019-07-08T00:00:00+00:00,0.000,0.000,8.182
2019-07-08T06:00:00+00:00,0.000,0.000,7.810
2019-07-08T12:00:00+00:00,0.000,0.890,7.985
2019-07-08T18:00:00+00:00,0.000,0.890,7.798
2019-07-09T00:00:00+00:00,0.000,0.000,7.883
2019-07-09T06:00:00+00:00,0.000,0.000,7.783
2019-07-09T12:00:00+00:00,0.000,0.919,7.687
2019-07-09T18:00:00+00:00,0.050,0.919,7.772
2019-07-10T00:00:00+00:00,0.000,0.000,7.673
2019-07-10T06:00:00+00:00,0.000,0.000,7.760
2019-07-10T12:00:00+00:00,0.000,1.040,7.660
2019-07-10T18:00:00+00:00,0.000,1.040,7.743
2019-07-11T00:00:00+00:00,0.000,0.000,7.555
2019-07-11T06:00:00+00:00,0.000,0.000,7.640
2019-07-11T12:00:00+00:00,0.000,1.006,7.540
2019-07-11T18:00:00+00:00,0.050,1.006,7.627
2019-07-12T00:00:00+00:00,0.000,0.000,7.437
2019-07-12T06:00:00+00:00,0.000,0.000,7.427
2019-07-12T12:00:00+00:00,0.000,0.968,7.510
2019-07-12T18:00:00+00:00,0.000,0.968,7.413
2019-07-13T00:00:00+00:00,0.000,0.000,7.490
2019-07-13T06:00:00+00:00,0.000,0.000,7.497
2019-07-13T12:00:00+00:00,0.000,1.033,7.403
2019-07-13T18:00:00+00:00,0.000,1.033,7.568
2019-07-14T00:00:00+00:00,0.000,0.000,7.302
2019-07-14T06:00:00+00:00,0.000,0.000,7.293
2019-07-14T12:00:00+00:00,0.000,1.128,7.457
2019-07-14T18:00:00+00:00,0.000,1.128,7.363
2019-07-15T00:00:00+00:00,0.000,0.000,7.355
2019-07-15T06:00:00+00:00,0.000,0.000,7.175
2019-07-15T12:00:00+00:00,0.000,1.064,7.338
2019-07-15T18:00:00+00:00,0.000,1.064,7.677
2019-07-16T00:00:00+00:00,3.770,0.000,7.497
2019-07-16T06:00:00+00:00,0.110,0.000,7.665
2019-07-16T12:00:00+00:00,0.090,1.001,7.483
2019-07-16T18:00:00+00:00,0.000,1.001,7.910
2019-07-17T00:00:00+00:00,0.000,0.000,8.167
2019-07-17T06:00:00+00:00,0.000,0.000,8.075
2019-07-17T12:00:00+00:00,0.000,1.013,7.637
2019-07-17T18:00:00+00:00,0.000,1.013,7.455
2019-07-18T00:00:00+00:00,0.000,0.000,7.363
2019-07-18T06:00:00+00:00,0.000,0.000,7.268
2019-07-18T12:00:00+00:00,0.050,1.029,7.173
2019-07-18T18:00:00+00:00,0.000,1.029,7.077
2019-07-19T00:00:00+00:00,0.000,0.000,7.155
2019-07-19T06:00:00+00:00,0.000,0.000,7.060
2019-07-19T12:00:00+00:00,0.000,1.070,7.052
2019-07-19T18:00:00+00:00,0.000,1.070,7.043
2019-07-20T00:00:00+00:00,0.000,0.000,7.035
2019-07-20T06:00:00+00:00,0.000,0.000,6.940
2019-07-20T12:00:00+00:00,0.000,0.989,7.190
2019-07-20T18:00:00+00:00,0.000,0.989,7.008
2019-07-21T00:00:00+00:00,0.000,0.000,6.913
2019-07-21T06:00:00+00:00,0.000,0.000,6.903
2019-07-21T12:00:00+00:00,0.000,1.006,7.068
2019-07-21T18:00:00+00:00,0.000,1.006,6.713
2019-07-22T00:00:00+00:00,0.000,0.000,6.790
2019-07-22T06:00:00+00:00,0.000,0.000,6.868
2019-07-22T12:00:00+00:00,0.000,1.083,6.945
2019-07-22T18:00:00+00:00,0.000,1.083,6.588
2019-07-23T00:00:00+00:00,0.000,0.000,6.752
2019-07-23T06:00:00+00:00,0.000,0.000,6.657
2019-07-23T12:00:00+00:00,0.000,1.107,6.820
2019-07-23T18:00:00+00:00,0.000,1.107,6.637
2019-07-24T00:00:00+00:00,0.000,0.000,6.367
2019-07-24T06:00:00+00:00,0.000,0.000,6.703
2019-07-24T12:00:00+00:00,0.000,0.998,6.780
2019-07-24T18:00:00+00:00,0.050,0.998,6.588
2019-07-25T00:00:00+00:00,0.000,0.000,6.660
2019-07-25T06:00:00+00:00,0.000,0.000,6.650
2019-07-25T12:00:00+00:00,0.000,1.172,6.720
2019-07-25T18:00:00+00:00,0.000,1.172,6.628
2019-07-26T00:00:00+00:00,0.000,0.000,6.617
2019-07-26T06:00:00+00:00,0.000,0.000,6.607
2019-07-26T12:00:00+00:00,0.000,1.210,5.868
2019-07-26T18:00:00+00:00,0.000,1.210,6.260
2019-07-27T00:00:00+00:00,0.000,0.000,4.953
2019-07-27T06:00:00+00:00,0.000,0.000,5.095
2019-07-27T12:00:00+00:00,0.000,1.156,5.238
2019-07-27T18:00:00+00:00,0.000,1.156,3.120
2019-07-28T00:00:00+00:00,0.000,0.000,3.175
2019-07-28T06:00:00+00:00,0.000,0.000,3.147
