datahora,chuva_mm,chuva_wrf,obs_acum,wrf_acum,qsac_bru,qsac_anc,qsac_bru_novo,qsac_anc_novo,qgr5_bru,qgr5_anc
2019-05-19T00:00:00+00:00,0.000,0.000,0.000,0.000,7.208,10.007,6.979,9.368,5.438,9.588
2019-05-19T06:00:00+00:00,0.000,0.000,0.000,0.000,7.189,9.982,6.959,9.340,5.376,9.482
2019-05-19T12:00:00+00:00,0.000,0.000,0.000,0.000,7.171,9.957,6.943,9.315,5.316,9.544
2019-05-19T18:00:00+00:00,0.000,0.000,0.000,0.000,7.152,9.932,6.924,9.287,5.259,9.464
2019-05-20T00:00:00+00:00,0.000,0.000,0.000,0.000,7.134,9.907,6.906,9.260,5.203,9.225
2019-05-20T06:00:00+00:00,0.000,0.000,0.000,0.000,7.116,9.883,6.892,9.238,5.148,9.135
2019-05-20T12:00:00+00:00,0.000,0.000,0.000,0.000,7.099,9.858,6.878,9.217,5.097,9.211
2019-05-20T18:00:00+00:00,0.000,0.000,0.000,0.000,7.081,9.834,6.864,9.196,5.047,9.146
2019-05-21T00:00:00+00:00,0.000,0.000,0.000,0.000,7.063,9.810,6.850,9.175,4.998,8.923
2019-05-21T06:00:00+00:00,0.000,0.000,0.000,0.000,7.045,9.786,6.837,9.154,4.950,8.847
2019-05-21T12:00:00+00:00,0.050,0.050,0.050,0.050,7.029,9.763,6.828,9.138,4.905,8.933
2019-05-21T18:00:00+00:00,0.000,0.000,0.050,0.050,7.019,9.746,6.816,9.119,4.861,8.879
2019-05-22T00:00:00+00:00,0.000,0.000,0.050,0.050,7.007,9.729,6.803,9.099,4.818,8.669
2019-05-22T06:00:00+00:00,0.000,0.000,0.050,0.050,6.991,9.706,6.789,9.078,4.777,8.603
2019-05-22T12:00:00+00:00,0.000,0.000,0.050,0.050,6.970,9.679,6.775,9.057,4.737,8.697
2019-05-22T18:00:00+00:00,0.000,0.000,0.050,0.050,6.949,9.652,6.761,9.037,4.698,8.653
2019-05-23T00:00:00+00:00,0.000,0.000,0.050,0.050,6.929,9.625,6.747,9.016,4.660,8.454
2019-05-23T06:00:00+00:00,0.000,0.000,0.050,0.050,6.909,9.599,6.734,8.996,4.623,8.395
2019-05-23T12:00:00+00:00,1.810,1.810,1.860,1.860,6.935,9.619,6.882,9.132,4.631,8.591
2019-05-23T18:00:00+00:00,2.580,2.580,4.440,4.440,7.239,9.922,7.162,9.399,4.841,9.093
2019-05-24T00:00:00+00:00,15.130,15.130,19.570,19.570,8.198,11.063,8.594,11.063,5.976,11.063
2019-05-24T06:00:00+00:00,23.040,5.740,42.610,25.310,10.932,14.987,9.684,12.672,9.242,16.787
2019-05-24T12:00:00+00:00,0.690,0.910,43.300,26.220,14.005,20.014,9.981,13.259,13.474,24.403
2019-05-24T18:00:00+00:00,0.080,0.140,43.380,26.360,15.174,22.599,9.976,13.249,12.828,23.583
2019-05-25T00:00:00+00:00,0.000,0.020,43.380,26.380,14.257,21.916,9.712,12.909,10.057,19.209
2019-05-25T06:00:00+00:00,0.000,0.060,43.380,26.440,12.407,19.284,9.388,12.501,8.392,16.452
2019-05-25T12:00:00+00:00,0.000,0.000,43.380,26.440,10.562,16.318,9.055,12.084,7.907,15.386
2019-05-25T18:00:00+00:00,0.000,0.000,43.380,26.440,9.124,13.855,8.736,11.684,7.725,14.778
2019-05-26T00:00:00+00:00,0.000,0.000,43.380,26.440,8.145,12.109,8.441,11.316,7.543,14.206
2019-05-26T06:00:00+00:00,0.000,0.000,43.380,26.440,7.532,10.988,8.176,10.985,7.372,13.686
2019-05-26T12:00:00+00:00,0.000,0.000,43.380,26.440,7.165,10.308,7.941,10.690,7.216,13.219
2019-05-26T18:00:00+00:00,0.000,0.000,43.380,26.440,6.953,9.915,7.734,10.431,7.071,12.795
2019-05-27T00:00:00+00:00,0.000,0.000,43.380,26.440,6.801,9.642,7.554,10.204,6.933,12.403
2019-05-27T06:00:00+00:00,0.000,0.000,43.380,26.440,6.734,9.512,7.398,10.007,6.803,12.042
2019-05-27T12:00:00+00:00,0.050,0.000,43.430,26.440,6.710,9.459,7.262,9.835,6.679,11.710
2019-05-27T18:00:00+00:00,0.000,0.000,43.430,26.440,6.692,9.430,7.146,9.686,6.562,11.402
2019-05-28T00:00:00+00:00,0.000,0.000,43.430,26.440,6.675,9.405,7.045,9.557,6.449,11.115
2019-05-28T06:00:00+00:00,0.000,1.350,43.430,27.790,6.692,9.414,7.079,9.561,6.409,10.953
2019-05-28T12:00:00+00:00,0.000,4.390,43.430,32.180,6.976,9.696,7.443,9.891,6.744,11.414
2019-05-28T18:00:00+00:00,4.850,0.150,48.280,32.330,7.758,10.483,7.550,9.972,7.643,12.811
2019-05-29T00:00:00+00:00,4.530,0.040,52.810,32.370,8.341,11.068,7.502,9.906,8.186,13.650
2019-05-29T06:00:00+00:00,1.900,0.350,54.710,32.720,8.355,11.076,7.438,9.825,7.520,12.608
2019-05-29T12:00:00+00:00,0.140,5.500,54.850,38.220,8.209,10.936,7.929,10.337,7.198,12.120
2019-05-29T18:00:00+00:00,0.050,9.340,54.900,47.560,9.121,12.054,9.324,12.331,8.361,13.972
2019-05-30T00:00:00+00:00,0.000,0.170,54.900,47.730,11.773,15.486,9.985,13.211,11.119,18.471
2019-05-30T06:00:00+00:00,0.000,0.020,54.900,47.750,13.712,18.311,10.014,13.299,12.557,20.894
2019-05-30T12:00:00+00:00,0.110,0.000,55.010,47.750,13.605,18.693,9.763,12.981,10.787,18.175
2019-05-30T18:00:00+00:00,0.160,0.110,55.170,47.860,12.187,17.191,9.466,12.591,9.217,15.755
2019-05-31T00:00:00+00:00,1.160,0.240,56.330,48.100,10.500,15.122,9.179,12.202,8.556,14.596
