datahora,pme_wrf,etp
2019-05-25T06:00:00+00:00,0.020,0.000
2019-05-25T12:00:00+00:00,0.000,0.971
2019-05-25T18:00:00+00:00,0.000,0.971
2019-05-26T00:00:00+00:00,0.000,0.000
2019-05-26T06:00:00+00:00,0.000,0.000
2019-05-26T12:00:00+00:00,0.000,1.067
2019-05-26T18:00:00+00:00,0.000,1.067
2019-05-27T00:00:00+00:00,0.000,0.000
2019-05-27T06:00:00+00:00,0.000,0.000
2019-05-27T12:00:00+00:00,0.000,0.854
2019-05-27T18:00:00+00:00,0.000,0.854
2019-05-28T00:00:00+00:00,0.000,0.000
2019-05-28T06:00:00+00:00,0.000,0.000
2019-05-28T12:00:00+00:00,0.070,0.852
2019-05-28T18:00:00+00:00,2.830,0.852
2019-05-29T00:00:00+00:00,6.950,0.000
2019-05-29T06:00:00+00:00,1.990,0.000
2019-05-29T12:00:00+00:00,4.000,0.887
2019-05-29T18:00:00+00:00,0.380,0.887
2019-05-30T00:00:00+00:00,0.240,0.000
2019-05-30T06:00:00+00:00,0.830,0.000
2019-05-30T12:00:00+00:00,2.100,0.802
2019-05-30T18:00:00+00:00,2.320,0.802
2019-05-31T00:00:00+00:00,0.920,0.000
2019-05-31T06:00:00+00:00,0.020,0.000
2019-05-31T12:00:00+00:00,0.010,0.875
2019-05-31T18:00:00+00:00,0.680,0.875
2019-06-01T00:00:00+00:00,0.120,0.000
