datahora,chuva_mm,etp_mm,q_m3s
2017-05-31T00:00:00+00:00,0.000,0.000,9.797
2017-05-31T06:00:00+00:00,0.000,0.000,10.023
2017-05-31T12:00:00+00:00,0.000,0.875,9.963
2017-05-31T18:00:00+00:00,0.000,0.875,10.425
2017-06-01T00:00:00+00:00,0.740,0.000,9.520
2017-06-01T06:00:00+00:00,0.000,0.000,10.167
2017-06-01T12:00:00+00:00,0.000,0.749,9.768
2017-06-01T18:00:00+00:00,0.030,0.749,10.347
2017-06-02T00:00:00+00:00,0.000,0.000,10.560
2017-06-02T06:00:00+00:00,0.000,0.000,10.397
2017-06-02T12:00:00+00:00,0.000,0.703,9.913
2017-06-02T18:00:00+00:00,0.000,0.703,13.627
2017-06-03T00:00:00+00:00,0.000,0.000,14.652
2017-06-03T06:00:00+00:00,0.000,0.000,14.100
2017-06-03T12:00:00+00:00,0.000,0.805,14.092
2017-06-03T18:00:00+00:00,0.000,0.805,14.268
2017-06-04T00:00:00+00:00,0.000,0.000,13.710
2017-06-04T06:00:00+00:00,0.000,0.000,13.975
2017-06-04T12:00:00+00:00,0.000,0.725,13.415
2017-06-04T18:00:00+00:00,0.000,0.725,13.865
2017-06-05T00:00:00+00:00,0.000,0.000,13.580
2017-06-05T06:00:00+00:00,2.060,0.000,24.588
2017-06-05T12:00:00+00:00,73.760,0.723,67.497
2017-06-05T18:00:00+00:00,16.950,0.723,85.830
2017-06-06T00:00:00+00:00,4.070,0.000,67.153
2017-06-06T06:00:00+00:00,5.910,0.000,74.450
2017-06-06T12:00:00+00:00,1.650,0.736,108.070
2017-06-06T18:00:00+00:00,0.220,0.736,125.072
2017-06-07T00:00:00+00:00,9.700,0.000,118.567
2017-06-07T06:00:00+00:00,9.540,0.000,107.518
2017-06-07T12:00:00+00:00,0.110,0.799,86.960
2017-06-07T18:00:00+00:00,2.450,0.799,77.325
2017-06-08T00:00:00+00:00,0.110,0.000,74.623
2017-06-08T06:00:00+00:00,0.110,0.000,69.508
2017-06-08T12:00:00+00:00,0.000,0.993,60.698
2017-06-08T18:00:00+00:00,0.110,0.993,54.432
2017-06-09T00:00:00+00:00,0.620,0.000,46.678
2017-06-09T06:00:00+00:00,2.690,0.000,40.428
2017-06-09T12:00:00+00:00,0.220,0.840,36.617
2017-06-09T18:00:00+00:00,0.110,0.840,35.925
2017-06-10T00:00:00+00:00,0.110,0.000,34.013
2017-06-10T06:00:00+00:00,0.000,0.000,32.438
2017-06-10T12:00:00+00:00,0.000,0.927,36.730
2017-06-10T18:00:00+00:00,0.000,0.927,21.517
2017-06-11T00:00:00+00:00,0.000,0.000,20.280
2017-06-11T06:00:00+00:00,0.000,0.000,18.945
2017-06-11T12:00:00+00:00,0.000,1.045,18.430
2017-06-11T18:00:00+00:00,0.000,1.045,17.452
2017-06-12T00:00:00+00:00,0.000,0.000,17.297
2017-06-12T06:00:00+00:00,0.000,0.000,16.360
2017-06-12T12:00:00+00:00,0.000,0.916,15.337
2017-06-12T18:00:00+00:00,0.000,0.916,15.637
2017-06-13T00:00:00+00:00,0.000,0.000,15.280
2017-06-13T06:00:00+00:00,1.730,0.000,15.615
2017-06-13T12:00:00+00:00,2.530,0.984,16.142
2017-06-13T18:00:00+00:00,3.050,0.984,16.375
2017-06-14T00:00:00+00:00,0.600,0.000,17.273
2017-06-14T06:00:00+00:00,0.220,0.000,17.043
2017-06-14T12:00:00+00:00,0.000,0.842,16.558
2017-06-14T18:00:00+00:00,0.110,0.842,16.630
2017-06-15T00:00:00+00:00,0.000,0.000,15.948
2017-06-15T06:00:00+00:00,0.000,0.000,15.133
2017-06-15T12:00:00+00:00,0.110,0.973,14.795
2017-06-15T18:00:00+00:00,0.000,0.973,14.533
2017-06-16T00:00:00+00:00,0.000,0.000,14.062
2017-06-16T06:00:00+00:00,0.000,0.000,14.013
2017-06-16T12:00:00+00:00,0.000,0.927,13.505
2017-06-16T18:00:00+00:00,0.000,0.927,13.502
2017-06-17T00:00:00+00:00,0.000,0.000,13.555
2017-06-17T06:00:00+00:00,0.000,0.000,13.023
2017-06-17T12:00:00+00:00,0.000,1.028,12.738
2017-06-17T18:00:00+00:00,0.000,1.028,13.053
2017-06-18T00:00:00+00:00,0.000,0.000,12.967
2017-06-18T06:00:00+00:00,0.000,0.000,12.770
2017-06-18T12:00:00+00:00,0.000,0.836,12.825
