datahora,chuva_obs,chuva_prev,simul_sac,simul_gr5,q_obs
2019-05-22T00:00:00+00:00,0.000,,6.337,4.463,7.633
2019-05-22T06:00:00+00:00,0.000,,6.324,4.424,7.443
2019-05-22T12:00:00+00:00,0.000,,6.311,4.387,7.708
2019-05-22T18:00:00+00:00,0.000,,6.298,4.352,7.518
2019-05-23T00:00:00+00:00,0.000,,6.286,4.316,7.420
2019-05-23T06:00:00+00:00,0.000,,6.273,4.282,7.503
2019-05-23T12:00:00+00:00,1.810,,6.411,4.289,7.862
2019-05-23T18:00:00+00:00,2.580,,6.672,4.484,8.222
2019-05-24T00:00:00+00:00,15.130,,8.006,5.535,11.063
2019-05-24T06:00:00+00:00,23.040,,11.705,9.366,13.458
2019-05-24T12:00:00+00:00,0.690,,13.580,17.103,14.943
2019-05-24T18:00:00+00:00,0.080,,13.670,21.244,16.250
2019-05-25T00:00:00+00:00,0.000,,13.193,16.435,18.203
2019-05-25T06:00:00+00:00,0.000,,12.565,12.503,15.945
2019-05-25T12:00:00+00:00,0.000,,11.902,10.974,13.950
2019-05-25T18:00:00+00:00,0.000,,11.258,10.532,12.315
2019-05-26T00:00:00+00:00,0.000,,10.660,10.137,11.040
2019-05-26T06:00:00+00:00,0.000,,10.119,9.774,10.222
2019-05-26T12:00:00+00:00,0.000,,9.638,9.441,9.672
2019-05-26T18:00:00+00:00,0.000,,9.215,9.133,9.122
2019-05-27T00:00:00+00:00,0.000,,8.847,8.847,8.847
2019-05-27T06:00:00+00:00,0.000,0.000,8.528,8.581,8.747
2019-05-27T12:00:00+00:00,0.050,0.000,8.253,8.335,8.653
2019-05-27T18:00:00+00:00,0.000,0.000,8.017,8.105,8.377
2019-05-28T00:00:00+00:00,0.000,0.000,7.815,7.890,8.277
2019-05-28T06:00:00+00:00,0.000,0.000,7.642,7.689,8.183
2019-05-28T12:00:00+00:00,0.000,0.000,7.493,7.501,8.358
2019-05-28T18:00:00+00:00,4.850,6.140,7.876,7.591,8.540
2019-05-29T00:00:00+00:00,4.530,4.510,8.445,8.739,9.083
2019-05-29T06:00:00+00:00,1.900,6.030,9.343,11.114,8.898
2019-05-29T12:00:00+00:00,0.140,0.250,9.745,12.819,9.357
2019-05-29T18:00:00+00:00,0.050,4.610,10.237,13.196,9.998
2019-05-30T00:00:00+00:00,0.000,0.600,10.257,12.312,9.723
2019-05-30T06:00:00+00:00,0.000,0.000,10.158,12.145,9.815
2019-05-30T12:00:00+00:00,0.110,0.000,9.863,11.220,9.173
2019-05-30T18:00:00+00:00,0.160,0.650,9.582,10.316,8.990
2019-05-31T00:00:00+00:00,1.160,0.190,9.298,9.731,8.898
2019-05-31T06:00:00+00:00,0.030,0.050,9.012,9.427,8.618
2019-05-31T12:00:00+00:00,0.050,0.000,8.740,9.190,8.522
2019-05-31T18:00:00+00:00,0.030,0.140,8.493,8.904,8.208
2019-06-01T00:00:00+00:00,6.440,0.070,8.255,8.619,16.438
2019-06-01T06:00:00+00:00,4.950,0.000,8.072,8.378,18.587
2019-06-01T12:00:00+00:00,2.570,0.000,7.909,8.167,20.748
2019-06-01T18:00:00+00:00,3.610,0.020,7.767,7.949,20.562
2019-06-02T00:00:00+00:00,3.170,0.000,7.641,7.742,22.775
2019-06-02T06:00:00+00:00,0.740,0.260,7.553,7.566,27.763
2019-06-02T12:00:00+00:00,9.200,11.100,8.671,7.987,29.240
2019-06-02T18:00:00+00:00,2.660,3.470,9.712,10.271,29.660
2019-06-03T00:00:00+00:00,14.510,3.920,10.494,13.575,36.213
