datahora,Simul_Novo,Simul_Anterior,QObs
2013-11-07T00:00:00+00:00,25.901,13.488,12.268
2013-11-07T06:00:00+00:00,26.759,14.932,12.032
2013-11-07T12:00:00+00:00,26.440,16.531,12.607
2013-11-07T18:00:00+00:00,25.782,17.093,12.520
2013-11-08T00:00:00+00:00,25.081,16.640,11.592
2013-11-08T06:00:00+00:00,24.403,15.746,11.400
2013-11-08T12:00:00+00:00,23.772,14.853,11.250
2013-11-08T18:00:00+00:00,23.195,14.152,13.377
2013-11-09T00:00:00+00:00,22.674,13.666,16.285
2013-11-09T06:00:00+00:00,22.206,13.352,2.642
2013-11-09T12:00:00+00:00,21.788,13.155,3.167
2013-11-09T18:00:00+00:00,21.414,13.029,6.140
2013-11-10T00:00:00+00:00,21.080,12.919,7.232
2013-11-10T06:00:00+00:00,20.781,12.862,7.212
2013-11-10T12:00:00+00:00,20.513,12.820,7.273
2013-11-10T18:00:00+00:00,20.273,12.780,7.700
2013-11-11T00:00:00+00:00,20.079,12.746,10.018
2013-11-11T06:00:00+00:00,19.885,12.735,11.255
2013-11-11T12:00:00+00:00,19.704,12.722,11.162
2013-11-11T18:00:00+00:00,20.020,12.786,11.010
2013-11-12T00:00:00+00:00,20.016,13.325,10.693
2013-11-12T06:00:00+00:00,19.971,13.915,11.135
2013-11-12T12:00:00+00:00,19.797,14.174,12.075
2013-11-12T18:00:00+00:00,19.603,14.041,11.968
2013-11-13T00:00:00+00:00,19.415,13.667,10.368
2013-11-13T06:00:00+00:00,19.237,13.248,10.043
2013-11-13T12:00:00+00:00,19.095,12.900,11.478
2013-11-13T18:00:00+00:00,18.943,12.670,11.545
2013-11-14T00:00:00+00:00,18.797,12.518,10.487
2013-11-14T06:00:00+00:00,18.660,12.403,10.130
2013-11-14T12:00:00+00:00,18.532,12.310,11.192
2013-11-14T18:00:00+00:00,18.412,12.223,11.698
2013-11-15T00:00:00+00:00,18.299,12.164,11.485
2013-11-15T06:00:00+00:00,18.193,12.113,10.812
2013-11-15T12:00:00+00:00,18.054,12.071,10.165
2013-11-15T18:00:00+00:00,17.963,12.031,9.492
2013-11-16T00:00:00+00:00,17.876,11.993,8.845
2013-11-16T06:00:00+00:00,17.793,11.956,8.168
2013-11-16T12:00:00+00:00,18.387,12.058,8.928
2013-11-16T18:00:00+00:00,18.383,12.818,9.520
2013-11-17T00:00:00+00:00,18.357,13.510,9.520
2013-11-17T06:00:00+00:00,18.273,13.692,9.520
2013-11-17T12:00:00+00:00,18.126,13.499,9.890
2013-11-17T18:00:00+00:00,17.972,13.104,10.433
2013-11-18T00:00:00+00:00,17.823,12.666,10.673
2013-11-18T06:00:00+00:00,17.682,12.288,10.927
2013-11-18T12:00:00+00:00,17.549,12.006,10.523
2013-11-18T18:00:00+00:00,17.425,11.812,10.192
2013-11-19T00:00:00+00:00,17.309,11.682,10.153
2013-11-19T06:00:00+00:00,17.200,11.593,10.082
2013-11-19T12:00:00+00:00,17.098,11.515,10.035
2013-11-19T18:00:00+00:00,17.002,11.473,9.968
2013-11-20T00:00:00+00:00,17.104,11.473,9.925
2013-11-20T06:00:00+00:00,17.036,11.664,9.852
2013-11-20T12:00:00+00:00,16.940,11.832,9.807
2013-11-20T18:00:00+00:00,17.011,11.860,9.755
2013-11-21T00:00:00+00:00,16.934,11.936,10.083
2013-11-21T06:00:00+00:00,16.831,11.958,10.140
2013-11-21T12:00:00+00:00,16.725,11.844,10.655
2013-11-21T18:00:00+00:00,16.623,11.658,11.087
2013-11-22T00:00:00+00:00,16.911,11.551,11.078
2013-11-22T06:00:00+00:00,17.199,11.924,11.258
2013-11-22T12:00:00+00:00,17.507,12.692,11.693
2013-11-22T18:00:00+00:00,17.524,13.497,12.233
2013-11-23T00:00:00+00:00,17.355,13.845,13.157
2013-11-23T06:00:00+00:00,17.156,13.579,13.685
2013-11-23T12:00:00+00:00,16.958,12.956,13.417
2013-11-23T18:00:00+00:00,16.771,12.288,12.788
2013-11-24T00:00:00+00:00,16.596,11.747,12.808
2013-11-24T06:00:00+00:00,16.436,11.364,12.813
2013-11-24T12:00:00+00:00,16.289,11.113,12.842
2013-11-24T18:00:00+00:00,16.154,10.954,12.860
2013-11-25T00:00:00+00:00,16.025,10.843,12.878
2013-11-25T06:00:00+00:00,15.912,10.771,12.895
2013-11-25T12:00:00+00:00,15.807,10.718,12.545
2013-11-25T18:00:00+00:00,15.710,10.682,12.488
2013-11-26T00:00:00+00:00,15.621,10.651,13.920
2013-11-26T06:00:00+00:00,15.537,10.620,14.287
