datahora_UTC,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,qjus,etp
2020-06-24 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.468,0.000
2020-06-24 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.463,0.859
2020-06-24 18:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.458,0.859
2020-06-25 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.453,0.000
2020-06-25 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.512,0.000
2020-06-25 12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.443,0.925
2020-06-25 18:00:00+00:00,0.000,0.400,0.140,1.940,0.000,0.000,0.030,0.080,0.010,0.070,0.000,0.220,0.010,0.230,0.560,0.000,1.840,0.000,0.050,0.030,0.300,1.550,0.030,0.000,0.000,0.000,0.070,0.020,0.010,0.000,0.260,0.040,0.000,0.060,0.000,0.000,0.130,0.040,0.090,0.000,0.250,0.000,0.000,0.000,0.010,5.760,0.000,0.060,0.000,0.000,0.010,2.903,0.925
2020-06-26 00:00:00+00:00,11.650,14.340,3.280,7.890,11.460,1.710,14.390,6.940,5.550,13.060,10.050,4.400,11.980,9.100,10.470,5.370,12.520,9.000,11.460,10.380,7.760,9.500,7.110,10.540,13.660,12.750,5.410,0.290,9.390,6.730,7.200,11.260,6.730,3.190,8.310,9.220,10.160,12.370,9.440,4.630,16.430,6.010,4.520,9.600,9.490,8.450,3.190,10.710,2.810,8.010,7.120,3.167,0.000
2020-06-26 06:00:00+00:00,7.520,9.950,19.170,8.530,1.200,7.050,10.820,3.620,11.140,7.510,0.460,5.560,7.710,0.550,13.720,3.630,5.550,1.210,0.480,7.440,3.230,1.110,0.530,1.700,14.250,3.090,0.440,4.530,2.750,9.700,2.520,2.400,9.640,13.970,0.360,8.020,5.870,1.950,0.170,3.800,1.700,25.850,10.940,5.230,9.030,18.990,6.320,12.370,2.780,0.720,18.570,2.967,0.000
2020-06-26 12:00:00+00:00,0.170,0.150,0.960,7.460,0.020,0.260,1.310,0.150,0.740,0.320,0.020,0.350,0.130,0.070,0.020,0.300,0.110,0.400,0.050,0.070,1.000,0.080,0.020,0.140,0.270,0.150,0.240,1.420,0.490,0.120,0.070,0.030,0.080,0.060,0.170,0.700,1.450,0.140,0.090,0.260,0.060,1.800,0.270,3.230,0.190,17.130,0.160,0.920,8.490,0.070,2.430,3.158,0.706
