534
datahora_UTC,pme,etp,qjus
2013-11-07 00:00:00+00:00,0.00,0.000,10.456
2013-11-07 06:00:00+00:00,0.00,0.000,10.197
2013-11-07 12:00:00+00:00,0.00,2.136,9.867
2013-11-07 18:00:00+00:00,0.00,2.136,9.663
2013-11-08 00:00:00+00:00,0.00,0.000,8.432
2013-11-08 06:00:00+00:00,0.00,0.000,8.260
2013-11-08 12:00:00+00:00,0.00,1.978,8.140
2013-11-08 18:00:00+00:00,0.00,1.978,11.258
2013-11-09 00:00:00+00:00,0.00,0.000,15.957
2013-11-09 06:00:00+00:00,0.00,0.000,2.327
2013-11-09 12:00:00+00:00,0.00,2.406,3.063
2013-11-09 18:00:00+00:00,0.00,2.406,7.253
2013-11-10 00:00:00+00:00,0.00,0.000,8.828
2013-11-10 06:00:00+00:00,0.00,0.000,8.792
2013-11-10 12:00:00+00:00,0.00,1.861,8.872
2013-11-10 18:00:00+00:00,0.00,1.861,5.498
2013-11-11 00:00:00+00:00,0.20,0.000,6.498
2013-11-11 06:00:00+00:00,0.00,0.000,8.460
2013-11-11 12:00:00+00:00,0.00,2.377,8.445
2013-11-11 18:00:00+00:00,4.00,2.377,8.340
2013-11-12 00:00:00+00:00,0.80,0.000,8.012
2013-11-12 06:00:00+00:00,1.00,0.000,9.162
2013-11-12 12:00:00+00:00,0.00,2.574,10.762
2013-11-12 18:00:00+00:00,0.00,2.574,10.688
2013-11-13 00:00:00+00:00,0.00,0.000,8.723
2013-11-13 06:00:00+00:00,0.00,0.000,8.395
2013-11-13 12:00:00+00:00,0.20,2.244,10.337
2013-11-13 18:00:00+00:00,0.00,2.244,10.498
2013-11-14 00:00:00+00:00,0.00,0.000,9.243
2013-11-14 06:00:00+00:00,0.00,0.000,8.882
2013-11-14 12:00:00+00:00,0.00,2.219,10.328
2013-11-14 18:00:00+00:00,0.00,2.219,11.038
2013-11-15 00:00:00+00:00,0.00,0.000,10.925
2013-11-15 06:00:00+00:00,0.00,0.000,10.248
2013-11-15 12:00:00+00:00,0.00,2.177,9.605
2013-11-15 18:00:00+00:00,0.00,2.177,8.928
2013-11-16 00:00:00+00:00,0.00,0.000,8.285
2013-11-16 06:00:00+00:00,0.00,0.000,7.603
2013-11-16 12:00:00+00:00,5.60,2.172,8.742
2013-11-16 18:00:00+00:00,0.00,2.172,9.520
2013-11-17 00:00:00+00:00,0.80,0.000,9.520
2013-11-17 06:00:00+00:00,0.40,0.000,9.520
2013-11-17 12:00:00+00:00,0.00,2.508,9.990
2013-11-17 18:00:00+00:00,0.00,2.508,10.637
2013-11-18 00:00:00+00:00,0.00,0.000,10.877
2013-11-18 06:00:00+00:00,0.00,0.000,11.133
2013-11-18 12:00:00+00:00,0.00,2.324,10.560
2013-11-18 18:00:00+00:00,0.00,2.324,10.147
2013-11-19 00:00:00+00:00,0.00,0.000,10.105
2013-11-19 06:00:00+00:00,0.00,0.000,10.028
2013-11-19 12:00:00+00:00,0.00,2.438,9.992
2013-11-19 18:00:00+00:00,0.00,2.438,9.918
2013-11-20 00:00:00+00:00,1.60,0.000,9.875
2013-11-20 06:00:00+00:00,0.00,0.000,9.800
2013-11-20 12:00:00+00:00,0.00,1.889,9.763
2013-11-20 18:00:00+00:00,1.40,1.889,9.705
2013-11-21 00:00:00+00:00,0.00,0.000,10.132
2013-11-21 06:00:00+00:00,0.00,0.000,10.192
2013-11-21 12:00:00+00:00,0.00,2.465,10.825
