datahora_UTC,Qgr5_0,Qgr5_1,Qgr5_2,Qgr5_3,Qgr5_4,Qgr5_5,Qgr5_6,Qgr5_7,Qgr5_8,Qgr5_9,Qgr5_10,Qgr5_11,Qgr5_12,Qgr5_13,Qgr5_14,Qgr5_15,Qgr5_16,Qgr5_17,Qgr5_18,Qgr5_19,Qgr5_20,Qgr5_21,Qgr5_22,Qgr5_23,Qgr5_24,Qgr5_25,Qgr5_26,Qgr5_27,Qgr5_28,Qgr5_29,Qgr5_30,Qgr5_31,Qgr5_32,Qgr5_33,Qgr5_34,Qgr5_35,Qgr5_36,Qgr5_37,Qgr5_38,Qgr5_39,Qgr5_40,Qgr5_41,Qgr5_42,Qgr5_43,Qgr5_44,Qgr5_45,Qgr5_46,Qgr5_47,Qgr5_48,Qgr5_49,Qgr5_50,Qmed,Q25,Q75,Qobs
2020-06-20 00:00:00+00:00,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,3.013,2.527
2020-06-20 06:00:00+00:00,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.522
2020-06-20 12:00:00+00:00,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.978,2.662
2020-06-20 18:00:00+00:00,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.961,2.365
2020-06-21 00:00:00+00:00,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.944,2.580
2020-06-21 06:00:00+00:00,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.927,2.500
2020-06-21 12:00:00+00:00,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.911,2.493
2020-06-21 18:00:00+00:00,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.896,2.413
2020-06-22 00:00:00+00:00,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.880,2.410
2020-06-22 06:00:00+00:00,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.865,2.480
