datahora_UTC,Qsac_0,Qsac_1,Qsac_2,Qsac_3,Qsac_4,Qsac_5,Qsac_6,Qsac_7,Qsac_8,Qsac_9,Qsac_10,Qsac_11,Qsac_12,Qsac_13,Qsac_14,Qsac_15,Qsac_16,Qsac_17,Qsac_18,Qsac_19,Qsac_20,Qsac_21,Qsac_22,Qsac_23,Qsac_24,Qsac_25,Qsac_26,Qsac_27,Qsac_28,Qsac_29,Qsac_30,Qsac_31,Qsac_32,Qsac_33,Qsac_34,Qsac_35,Qsac_36,Qsac_37,Qsac_38,Qsac_39,Qsac_40,Qsac_41,Qsac_42,Qsac_43,Qsac_44,Qsac_45,Qsac_46,Qsac_47,Qsac_48,Qsac_49,Qsac_50,Qmed,Q25,Q75,Qobs
2020-06-24 00:00:00+00:00,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,1.486,2.540
2020-06-24 06:00:00+00:00,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,1.482,2.468
2020-06-24 12:00:00+00:00,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,2.463
2020-06-24 18:00:00+00:00,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,1.475,2.458
2020-06-25 00:00:00+00:00,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,1.472,2.453
2020-06-25 06:00:00+00:00,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,1.468,2.512
2020-06-25 12:00:00+00:00,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,1.465,2.443
2020-06-25 18:00:00+00:00,1.462,1.472,1.465,1.510,1.462,1.462,1.462,1.464,1.462,1.463,1.462,1.467,1.462,1.467,1.475,1.462,1.507,1.462,1.463,1.462,1.469,1.500,1.462,1.462,1.462,1.462,1.463,1.462,1.462,1.462,1.468,1.463,1.462,1.463,1.462,1.462,1.465,1.463,1.464,1.462,1.468,1.462,1.462,1.462,1.462,1.604,1.462,1.463,1.462,1.462,1.462,1.462,1.462,1.464,2.903
2020-06-26 00:00:00+00:00,1.747,1.881,1.563,1.978,1.742,1.501,1.820,1.644,1.598,1.794,1.707,1.604,1.757,1.722,1.811,1.591,2.076,1.681,1.751,1.721,1.701,1.953,1.640,1.720,1.797,1.774,1.604,1.469,1.693,1.625,1.680,1.744,1.625,1.547,1.664,1.687,1.732,1.772,1.707,1.573,1.907,1.607,1.570,1.696,1.695,2.629,1.537,1.734,1.528,1.657,1.636,1.696,1.621,1.751,3.167
2020-06-26 06:00:00+00:00,3.586,4.219,2.519,3.552,3.398,1.915,4.144,2.727,2.661,3.842,3.144,2.392,3.649,3.055,3.714,2.441,4.222,2.987,3.395,3.381,2.918,3.523,2.664,3.257,4.116,3.660,2.389,1.621,3.094,2.819,2.796,3.406,2.817,2.351,2.851,3.193,3.335,3.580,3.061,2.322,4.313,3.153,2.481,3.187,3.266,5.089,2.144,3.567,1.993,2.810,3.120,3.144,2.711,3.552,2.967
2020-06-26 12:00:00+00:00,6.127,7.486,5.681,5.985,5.012,3.136,7.588,4.119,4.960,6.564,4.475,3.747,6.258,4.284,7.030,3.639,6.622,4.302,4.908,5.748,4.384,4.905,3.634,4.829,8.023,5.709,3.139,2.334,4.679,5.047,4.066,5.167,5.036,4.739,3.952,5.511,5.487,5.420,4.278,3.450,6.632,8.019,4.610,5.219,5.749,10.077,3.446,6.698,2.950,3.922,6.799,5.012,4.238,5.985,3.158
2020-06-26 18:00:00+00:00,7.424,9.133,8.510,8.250,5.362,4.126,9.521,4.779,6.687,7.850,4.841,4.736,7.723,4.530,9.069,4.362,7.463,4.844,5.297,6.986,5.214,5.293,3.848,5.243,10.348,6.422,3.576,3.288,5.356,6.484,4.607,5.758,6.448,6.618,4.199,6.831,6.687,5.988,4.662,4.210,7.312,12.355,6.156,6.601,7.400,16.809,4.490,8.780,4.642,4.154,10.081,6.156,4.718,7.424,4.425
2020-06-27 00:00:00+00:00,8.329,10.684,11.004,9.771,5.039,4.590,9.571,5.262,8.428,8.004,5.546,6.469,9.851,4.444,9.890,5.678,7.201,6.231,6.095,7.986,6.468,5.844,3.658,4.747,10.477,7.043,5.101,5.302,5.836,6.878,6.020,5.815,7.245,7.605,4.085,7.565,7.204,6.561,5.820,5.710,8.483,16.248,6.600,7.255,9.599,22.432,6.009,10.172,6.473,3.849,12.499,6.600,5.789,8.428,12.185
2020-06-27 06:00:00+00:00,12.666,19.324,16.530,13.923,6.256,6.144,9.710,8.332,15.194,9.415,9.143,12.557,16.736,5.869,12.516,11.550,8.584,11.753,10.228,12.815,10.753,7.339,3.791,4.212,10.400,12.026,8.173,10.700,8.042,7.344,13.539,6.312,10.970,11.574,4.490,11.310,9.498,10.528,10.022,11.156,14.598,25.284,7.320,7.827,14.519,28.795,11.485,12.552,9.215,4.588,16.945,10.700,8.140,12.557,21.273
2020-06-27 12:00:00+00:00,22.657,32.351,23.730,22.904,11.116,11.789,12.583,16.539,26.925,14.640,17.145,22.670,26.393,10.541,17.473,24.255,12.732,20.668,16.500,22.306,18.525,10.275,6.221,5.202,11.803,23.373,13.024,17.444,14.048,9.634,25.498,9.773,19.390,21.455,6.555,17.468,17.567,17.987,17.889,21.298,25.728,37.973,11.021,10.059,22.064,35.531,24.968,16.369,13.410,9.363,33.352,17.473,12.388,22.670,31.222
2020-06-27 18:00:00+00:00,35.326,40.640,29.605,30.074,18.625,20.494,17.313,22.450,37.643,21.739,26.785,30.886,33.028,18.067,22.458,38.176,17.492,27.289,22.745,33.601,24.268,15.913,11.809,8.259,13.030,35.054,19.277,24.353,21.276,11.431,34.831,16.206,28.565,32.843,10.097,24.262,28.098,26.094,28.101,31.328,36.266,45.803,21.184,13.340,29.274,38.147,38.377,19.438,18.715,17.502,51.736,24.353,18.693,32.843,34.488
2020-06-28 00:00:00+00:00,40.474,39.767,29.912,30.292,22.371,25.653,19.249,22.154,40.167,24.490,30.848,32.054,32.448,23.014,26.253,42.943,18.823,27.641,24.837,37.868,24.306,19.787,15.365,10.433,12.365,38.307,22.249,26.739,24.758,11.060,35.742,19.685,31.723,37.127,11.944,27.210,33.023,28.949,33.382,34.222,38.491,44.478,29.390,14.494,30.827,34.916,41.720,19.245,21.202,21.893,58.014,27.641,22.089,34.222,37.782
