datahora_UTC,Qsim_0,Qsim_1,Qsim_2,Qsim_3,Qsim_4,Qsim_5,Qsim_6,Qsim_7,Qsim_8,Qsim_9,Qsim_10,Qsim_11,Qsim_12,Qsim_13,Qsim_14,Qsim_15,Qsim_16,Qsim_17,Qsim_18,Qsim_19,Qsim_20,Qsim_21,Qsim_22,Qsim_23,Qsim_24,Qsim_25,Qsim_26,Qsim_27,Qsim_28,Qsim_29,Qsim_30,Qsim_31,Qsim_32,Qsim_33,Qsim_34,Qsim_35,Qsim_36,Qsim_37,Qsim_38,Qsim_39,Qsim_40,Qsim_41,Qsim_42,Qsim_43,Qsim_44,Qsim_45,Qsim_46,Qsim_47,Qsim_48,Qsim_49,Qsim_50,Qmed,Q25,Q75,Qobs
2020-08-16 00:00:00+00:00,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.783,5.553
2020-08-16 06:00:00+00:00,5.638,5.768,5.719,5.621,5.763,5.690,5.609,5.457,5.473,5.483,5.579,5.596,5.642,5.648,5.688,5.529,5.517,5.592,5.709,5.640,5.603,5.427,5.532,5.646,5.517,5.528,5.665,5.408,5.447,5.724,5.723,5.345,5.543,5.495,5.440,5.625,5.699,5.701,5.858,5.384,5.457,5.493,5.575,5.437,5.639,5.667,5.609,5.467,5.468,5.710,5.896,5.603,5.517,5.647,6.030
2020-08-16 12:00:00+00:00,6.959,7.664,7.734,7.058,7.753,7.257,7.021,6.015,6.027,6.102,6.564,7.040,6.977,6.971,7.378,6.241,6.506,6.592,7.505,7.237,6.918,5.764,6.554,7.286,6.234,6.422,6.936,5.798,5.868,7.388,7.572,5.447,6.395,6.190,5.874,6.945,7.119,7.317,8.225,5.922,6.002,6.072,6.773,6.340,6.838,7.118,6.725,5.954,6.452,7.445,9.018,6.838,6.356,7.082,6.638
2020-08-16 18:00:00+00:00,9.927,11.265,12.731,10.916,12.065,10.356,10.769,8.045,7.442,7.862,8.661,11.365,9.865,9.491,11.234,7.724,10.042,8.593,11.647,11.673,10.171,7.027,9.391,11.957,8.023,8.674,9.426,7.903,7.065,10.778,11.593,6.971,8.267,8.129,7.312,9.906,9.462,10.726,12.623,8.905,7.930,7.765,10.080,10.117,9.114,10.284,9.046,7.195,9.749,11.127,17.222,9.749,8.613,10.504,7.448
2020-08-17 00:00:00+00:00,11.059,11.484,15.357,13.935,13.762,10.477,13.233,9.914,7.142,8.462,8.632,15.754,10.819,8.773,12.699,7.496,14.901,8.550,13.592,15.585,11.980,7.585,10.705,16.579,8.565,9.065,10.710,10.811,6.993,11.720,13.370,9.299,8.548,8.919,7.874,11.104,8.712,11.970,12.500,13.164,9.474,9.079,12.391,14.883,8.895,11.702,9.733,6.843,11.581,11.991,24.346,10.819,9.069,12.151,8.463
2020-08-17 06:00:00+00:00,12.905,12.057,14.401,16.594,14.651,10.987,15.009,12.870,7.931,9.909,9.076,19.656,13.835,8.290,13.025,9.526,22.162,10.020,14.759,18.737,15.172,9.948,11.050,20.372,10.390,9.092,17.517,14.210,8.870,12.863,17.184,12.561,10.906,11.172,10.132,13.793,10.119,15.250,12.043,17.122,11.887,12.734,14.020,19.406,9.347,14.271,13.364,7.947,10.320,12.178,26.541,12.863,10.930,14.323,8.945
2020-08-17 12:00:00+00:00,16.177,14.683,12.608,18.183,15.363,14.788,17.853,15.543,12.860,12.405,10.466,21.721,23.604,13.279,13.898,14.583,30.672,13.184,16.917,21.129,23.449,14.555,12.360,21.547,12.457,10.409,30.808,14.036,14.461,13.067,27.115,14.541,15.293,16.853,15.420,18.728,15.145,23.438,17.550,20.885,13.912,16.238,14.680,26.022,9.894,16.736,21.091,12.520,11.270,13.247,25.072,15.293,13.950,17.671,10.230
2020-08-17 18:00:00+00:00,19.438,15.113,12.019,17.513,14.796,19.001,20.330,16.398,20.151,13.387,11.109,20.768,41.406,24.951,14.953,16.822,39.982,14.686,19.046,23.029,31.495,17.452,12.830,22.550,11.778,11.425,40.518,11.677,18.344,11.714,31.990,16.180,14.330,21.875,19.645,18.930,18.379,29.847,28.405,25.961,14.014,17.497,14.033,30.933,8.844,15.853,26.912,16.740,13.969,12.643,24.424,17.513,14.843,20.505,10.583
2020-08-18 00:00:00+00:00,18.501,13.292,10.922,14.896,12.678,20.881,18.628,14.274,24.525,11.332,10.277,17.581,55.008,32.927,16.245,13.568,42.288,14.097,18.468,20.392,32.007,14.260,11.248,23.379,9.834,11.197,39.288,9.770,16.809,10.844,25.702,18.854,11.516,19.214,18.248,15.858,18.544,24.785,36.124,28.537,12.855,17.213,11.756,29.947,8.311,14.719,28.054,15.227,15.679,10.741,24.782,16.809,13.727,19.685,11.682
2020-08-18 06:00:00+00:00,16.777,14.087,11.206,15.578,12.254,19.129,15.845,12.534,26.356,10.493,12.432,15.145,54.481,32.292,18.299,12.528,41.765,16.042,17.741,17.882,32.339,12.108,12.193,24.377,9.236,11.590,37.704,9.263,16.785,12.576,21.075,22.396,11.442,18.488,14.935,15.783,19.661,21.882,33.932,27.474,16.888,15.061,11.877,27.752,10.418,14.117,26.213,14.576,17.138,10.044,21.776,16.042,13.030,19.342,12.442
2020-08-18 12:00:00+00:00,17.308,17.149,13.100,18.992,13.965,20.527,15.248,13.246,25.768,11.458,18.729,13.926,54.657,29.965,19.323,15.160,43.155,19.768,17.234,20.515,40.399,13.782,16.319,24.441,9.379,12.065,33.887,9.284,18.580,15.571,19.088,23.125,14.759,22.861,13.432,20.712,22.575,27.277,30.113,25.387,28.051,12.886,18.160,26.301,15.051,14.215,23.749,17.016,17.852,11.017,20.305,18.580,15.186,21.458,12.838
2020-08-18 18:00:00+00:00,17.978,18.896,14.854,19.900,15.647,24.219,17.221,15.002,21.389,12.990,23.807,13.267,54.033,31.382,19.930,17.186,50.495,19.395,16.155,31.194,45.013,18.083,18.833,22.991,9.139,11.782,31.628,9.220,19.541,16.941,18.879,19.792,18.189,25.574,13.308,24.663,22.321,36.694,28.479,25.066,37.749,11.606,29.761,25.119,18.357,15.946,24.573,18.304,18.332,13.540,22.131,19.395,17.448,23.972,12.227
2020-08-19 00:00:00+00:00,16.984,19.347,16.352,19.774,15.242,24.428,18.988,14.993,18.186,12.828,25.613,13.841,45.960,31.373,20.305,16.060,47.133,17.867,14.484,41.924,37.646,22.066,18.564,26.288,9.519,10.854,30.514,9.060,19.092,17.407,19.322,16.958,18.716,22.161,14.224,22.825,19.677,37.560,25.799,27.134,34.845,11.002,33.836,25.583,17.799,17.892,25.265,19.392,18.894,17.353,28.510,19.322,17.524,24.763,12.612
